Cell,Threshold,Patches,Cross_Area
20211201_MKY4576_01_Cell01_GFP,yen,19,3425
20211201_MKY4576_01_Cell02_GFP,yen,18,3131
20211201_MKY4576_01_Cell03_GFP,yen,24,3212
20211201_MKY4576_01_Cell04_GFP,yen,15,3560
20211201_MKY4576_02_Cell01_GFP,yen,15,2822
20211201_MKY4576_02_Cell02_GFP,yen,25,2793
20211201_MKY4576_02_Cell03_GFP,yen,4,2019
20211201_MKY4576_02_Cell04_GFP,yen,13,2805
20211201_MKY4576_03_Cell01_GFP,yen,25,3274
20211201_MKY4576_03_Cell02_GFP,yen,15,2690
20211201_MKY4576_03_Cell03_GFP,yen,4,2547
20211201_MKY4576_03_Cell04_GFP,yen,19,2766
20211201_MKY4576_04_Cell01_GFP,yen,8,2808
20211201_MKY4576_04_Cell02_GFP,yen,23,2948
20211201_MKY4576_04_Cell03_GFP,yen,21,2746
20211201_MKY4576_04_Cell04_GFP,yen,6,2846
20211201_MKY4576_04_Cell05_GFP,yen,18,3076
20211201_MKY4576_05_Cell01_GFP,yen,12,2602
20211201_MKY4576_05_Cell02_GFP,yen,17,3368
20211201_MKY4576_05_Cell03_GFP,yen,9,3272
20211201_MKY4576_05_Cell04_GFP,yen,18,3256
20211201_MKY4576_05_Cell05_GFP,yen,21,4005
20211201_MKY4576_06_Cell01_GFP,yen,24,2658
20211201_MKY4576_06_Cell02_GFP,yen,15,2608
20211201_MKY4576_06_Cell03_GFP,yen,14,3131
20211201_MKY4576_06_Cell04_GFP,yen,14,2751
20211201_MKY4576_06_Cell05_GFP,yen,19,2901
20211201_MKY4576_07_Cell01_GFP,yen,15,3182
20211201_MKY4576_07_Cell02_GFP,yen,17,3127
20211201_MKY4576_07_Cell03_GFP,yen,12,2550
20211201_MKY4576_07_Cell04_GFP,yen,18,3144
20211201_MKY4576_08_Cell01_GFP,yen,7,2360
20211201_MKY4576_08_Cell02_GFP,yen,16,3416
20211201_MKY4576_08_Cell03_GFP,yen,19,3539
20211201_MKY4576_08_Cell04_GFP,yen,19,2934
20211201_MKY4576_09_Cell01_GFP,yen,26,3568
20211201_MKY4576_09_Cell02_GFP,yen,13,2033
20211201_MKY4576_09_Cell03_GFP,yen,22,2702
20211201_MKY4576_10_Cell01_GFP,yen,8,2091
20211201_MKY4576_10_Cell02_GFP,yen,23,3617
20211201_MKY4576_10_Cell03_GFP,yen,20,2910
20211201_MKY4576_11_Cell01_GFP,yen,9,2142
20211201_MKY4576_11_Cell02_GFP,yen,20,2948
20211201_MKY4576_11_Cell03_GFP,yen,11,2792
20211201_MKY4576_11_Cell04_GFP,yen,18,2947
20211201_MKY4576_12_Cell01_GFP,yen,26,3213
20211201_MKY4576_12_Cell02_GFP,yen,14,2888
20211201_MKY4576_12_Cell03_GFP,yen,11,2829
20211201_MKY4576_12_Cell04_GFP,yen,10,2864
20211201_MKY4576_13_Cell01_GFP,yen,17,3374
20211201_MKY4576_13_Cell02_GFP,yen,14,2672
20211201_MKY4576_13_Cell03_GFP,yen,11,2101
20211201_MKY4576_14_Cell01_GFP,yen,17,2932
20211201_MKY4576_14_Cell02_GFP,yen,9,1889
