Cell,Threshold,Patches,Cross_Area
20210527_MKY0140_01_Cell01_GFP,yen,24,2726
20210527_MKY0140_01_Cell02_GFP,yen,34,2736
20210527_MKY0140_01_Cell03_GFP,yen,27,2195
20210527_MKY0140_02_Cell01_GFP,yen,38,3962
20210527_MKY0140_02_Cell02_GFP,yen,34,3220
20210527_MKY0140_02_Cell03_GFP,yen,21,2212
20210527_MKY0140_02_Cell04_GFP,yen,33,3209
20210527_MKY0140_03_Cell01_GFP,yen,28,2518
20210527_MKY0140_03_Cell02_GFP,yen,29,2955
20210527_MKY0140_03_Cell03_GFP,yen,29,2954
20210527_MKY0140_03_Cell04_GFP,yen,21,2661
20210527_MKY0140_03_Cell05_GFP,yen,25,2726
20210527_MKY0140_04_Cell01_GFP,yen,27,2979
20210527_MKY0140_04_Cell02_GFP,yen,37,3066
20210527_MKY0140_04_Cell03_GFP,yen,28,2570
20210527_MKY0140_04_Cell04_GFP,yen,38,3372
20210527_MKY0140_04_Cell05_GFP,yen,17,3193
20210527_MKY0140_05_Cell01_GFP,yen,33,3411
20210527_MKY0140_05_Cell02_GFP,yen,29,2983
20210527_MKY0140_05_Cell03_GFP,yen,29,2587
20210527_MKY0140_05_Cell04_GFP,yen,34,3867
20210527_MKY0140_05_Cell05_GFP,yen,42,4162
20210527_MKY0140_06_Cell01_GFP,yen,29,2577
20210527_MKY0140_06_Cell02_GFP,yen,36,3126
20210527_MKY0140_06_Cell03_GFP,yen,20,3855
20210527_MKY0140_06_Cell04_GFP,yen,33,3547
20210527_MKY0140_07_Cell01_GFP,yen,22,1984
20210527_MKY0140_07_Cell02_GFP,yen,25,2572
20210527_MKY0140_07_Cell03_GFP,yen,22,2554
20210527_MKY0140_07_Cell04_GFP,yen,34,2771
20210527_MKY0140_07_Cell05_GFP,yen,19,2357
20210527_MKY0140_08_Cell01_GFP,yen,33,3533
20210527_MKY0140_08_Cell02_GFP,yen,30,2704
20210527_MKY0140_08_Cell03_GFP,yen,29,2878
20210527_MKY0140_09_Cell01_GFP,yen,33,3132
20210527_MKY0140_09_Cell02_GFP,yen,12,1900
20210527_MKY0140_09_Cell03_GFP,yen,31,2589
20210527_MKY0140_10_Cell01_GFP,yen,23,2604
20210527_MKY0140_10_Cell02_GFP,yen,33,2769
20210527_MKY0140_11_Cell01_GFP,yen,26,2721
20210527_MKY0140_11_Cell02_GFP,yen,29,3157
20210527_MKY0140_11_Cell03_GFP,yen,32,2743
20210527_MKY0140_11_Cell04_GFP,yen,32,2983
20210527_MKY0140_11_Cell05_GFP,yen,33,3554
20210527_MKY0140_12_Cell01_GFP,yen,35,2806
20210527_MKY0140_12_Cell02_GFP,yen,35,2920
20210527_MKY0140_12_Cell03_GFP,yen,34,3681
