Cell,Threshold,Patches,Cross_Area
20220125_MKY4576_01_Cell01_GFP,yen,20,2938
20220125_MKY4576_01_Cell02_GFP,yen,14,2651
20220125_MKY4576_01_Cell03_GFP,yen,10,2827
20220125_MKY4576_01_Cell04_GFP,yen,14,2686
20220125_MKY4576_02_Cell01_GFP,yen,26,4053
20220125_MKY4576_02_Cell02_GFP,yen,27,3184
20220125_MKY4576_02_Cell03_GFP,yen,20,3759
20220125_MKY4576_03_Cell01_GFP,yen,20,3258
20220125_MKY4576_03_Cell02_GFP,yen,24,3124
20220125_MKY4576_03_Cell03_GFP,yen,20,3546
20220125_MKY4576_04_Cell01_GFP,yen,19,3070
20220125_MKY4576_04_Cell02_GFP,yen,28,3567
20220125_MKY4576_04_Cell03_GFP,yen,6,3969
20220125_MKY4576_04_Cell04_GFP,yen,15,3204
20220125_MKY4576_04_Cell05_GFP,yen,14,2314
20220125_MKY4576_05_Cell01_GFP,yen,22,3465
20220125_MKY4576_05_Cell02_GFP,yen,9,3622
20220125_MKY4576_05_Cell03_GFP,yen,19,3005
20220125_MKY4576_06_Cell01_GFP,yen,24,3214
20220125_MKY4576_06_Cell02_GFP,yen,24,3688
20220125_MKY4576_06_Cell03_GFP,yen,19,4223
20220125_MKY4576_06_Cell04_GFP,yen,12,2732
20220125_MKY4576_07_Cell01_GFP,yen,17,3011
20220125_MKY4576_07_Cell02_GFP,yen,16,3089
20220125_MKY4576_07_Cell03_GFP,yen,25,2835
20220125_MKY4576_08_Cell01_GFP,yen,15,2667
20220125_MKY4576_08_Cell02_GFP,yen,21,2599
20220125_MKY4576_08_Cell03_GFP,yen,28,3284
20220125_MKY4576_09_Cell01_GFP,yen,29,3667
20220125_MKY4576_09_Cell02_GFP,yen,19,2309
20220125_MKY4576_09_Cell03_GFP,yen,13,3491
20220125_MKY4576_10_Cell01_GFP,yen,10,3259
20220125_MKY4576_10_Cell02_GFP,yen,19,3859
20220125_MKY4576_10_Cell03_GFP,yen,19,4147
20220125_MKY4576_11_Cell01_GFP,yen,24,3778
20220125_MKY4576_11_Cell02_GFP,yen,20,2844
20220125_MKY4576_12_Cell01_GFP,yen,22,3803
20220125_MKY4576_12_Cell02_GFP,yen,19,3319
20220125_MKY4576_12_Cell03_GFP,yen,19,3640
20220125_MKY4576_13_Cell01_GFP,yen,11,2714
20220125_MKY4576_13_Cell02_GFP,yen,16,5560
20220125_MKY4576_13_Cell03_GFP,yen,27,4502
20220128_MKY4578_01_Cell01_GFP,yen,16,3416
20220128_MKY4578_01_Cell02_GFP,yen,13,3192
20220128_MKY4578_01_Cell03_GFP,yen,21,3598
20220128_MKY4578_02_Cell01_GFP,yen,15,3329
