Cell,Threshold,Patches,Cross_Area
20220119_MKY4576_01_Cell01_GFP,yen,16,2923
20220119_MKY4576_01_Cell02_GFP,yen,9,2929
20220119_MKY4576_01_Cell03_GFP,yen,17,2875
20220119_MKY4576_02_Cell01_GFP,yen,13,3693
20220119_MKY4576_02_Cell02_GFP,yen,19,2929
20220119_MKY4576_03_Cell01_GFP,yen,24,2761
20220119_MKY4576_03_Cell02_GFP,yen,16,3400
20220119_MKY4576_03_Cell03_GFP,yen,14,3319
20220119_MKY4576_03_Cell04_GFP,yen,11,3373
20220119_MKY4576_04_Cell01_GFP,yen,7,2741
20220119_MKY4576_04_Cell02_GFP,yen,16,3124
20220119_MKY4576_04_Cell03_GFP,yen,21,3144
20220119_MKY4576_04_Cell04_GFP,yen,18,3770
20220119_MKY4576_05_Cell01_GFP,yen,25,3967
20220119_MKY4576_05_Cell02_GFP,yen,24,3763
20220119_MKY4576_05_Cell03_GFP,yen,10,2672
20220119_MKY4576_05_Cell04_GFP,yen,13,3461
20220119_MKY4576_06_Cell01_GFP,yen,19,3119
20220119_MKY4576_06_Cell02_GFP,yen,24,3302
20220119_MKY4576_06_Cell03_GFP,yen,9,2510
20220119_MKY4576_07_Cell01_GFP,yen,18,2763
20220119_MKY4576_07_Cell02_GFP,yen,26,3309
20220119_MKY4576_07_Cell03_GFP,yen,15,3665
20220119_MKY4576_07_Cell04_GFP,yen,13,4612
20220119_MKY4576_08_Cell01_GFP,yen,20,2872
20220119_MKY4576_08_Cell02_GFP,yen,17,3399
20220119_MKY4576_08_Cell03_GFP,yen,9,2384
20220119_MKY4576_08_Cell04_GFP,yen,29,5124
20220119_MKY4576_09_Cell01_GFP,yen,13,3189
20220119_MKY4576_09_Cell02_GFP,yen,23,3234
20220119_MKY4576_09_Cell03_GFP,yen,9,3390
20220119_MKY4576_10_Cell01_GFP,yen,13,3607
20220119_MKY4576_10_Cell02_GFP,yen,14,2719
20220119_MKY4576_10_Cell03_GFP,yen,12,2894
20220119_MKY4576_11_Cell01_GFP,yen,25,4850
20220119_MKY4576_11_Cell02_GFP,yen,20,3915
20220119_MKY4576_11_Cell03_GFP,yen,14,3154
20220119_MKY4576_12_Cell01_GFP,yen,13,2280
20220119_MKY4576_12_Cell02_GFP,yen,12,2267
20220119_MKY4576_12_Cell03_GFP,yen,17,3188
20220119_MKY4576_13_Cell01_GFP,yen,10,2699
20220119_MKY4576_13_Cell02_GFP,yen,12,3151
20220119_MKY4576_14_Cell01_GFP,yen,13,3430
20220119_MKY4576_14_Cell02_GFP,yen,23,3758
20220119_MKY4576_15_Cell01_GFP,yen,14,3310
20220119_MKY4576_15_Cell02_GFP,yen,4,1879
20220119_MKY4576_15_Cell03_GFP,yen,13,2987
