Cell,Threshold,Patches,Cross_Area
20201017_MKY0140_01_Cell01_GFP,yen,36,2872
20201017_MKY0140_01_Cell02_GFP,yen,30,2939
20201017_MKY0140_01_Cell03_GFP,yen,31,3163
20201017_MKY0140_01_Cell04_GFP,yen,34,2866
20201017_MKY0140_02_Cell01_GFP,yen,40,2727
20201017_MKY0140_02_Cell02_GFP,yen,22,2682
20201017_MKY0140_02_Cell03_GFP,yen,34,3647
20201017_MKY0140_02_Cell04_GFP,yen,39,3759
20201017_MKY0140_03_Cell01_GFP,yen,28,3423
20201017_MKY0140_03_Cell02_GFP,yen,31,3274
20201017_MKY0140_03_Cell03_GFP,yen,23,3454
20201017_MKY0140_03_Cell04_GFP,yen,38,3988
20201017_MKY0140_04_Cell01_GFP,yen,26,2332
20201017_MKY0140_04_Cell02_GFP,yen,42,3571
20201017_MKY0140_04_Cell03_GFP,yen,39,4837
20201017_MKY0140_04_Cell04_GFP,yen,25,2105
20201017_MKY0140_04_Cell05_GFP,yen,23,2671
20201017_MKY0140_05_Cell01_GFP,yen,22,3119
20201017_MKY0140_05_Cell02_GFP,yen,33,6502
20201017_MKY0140_05_Cell03_GFP,yen,26,3685
20201017_MKY0140_05_Cell04_GFP,yen,31,3121
20201017_MKY0140_05_Cell05_GFP,yen,25,4487
20201017_MKY0140_06_Cell01_GFP,yen,15,3215
20201017_MKY0140_06_Cell02_GFP,yen,28,4136
20201017_MKY0140_06_Cell03_GFP,yen,21,2803
20201017_MKY0140_06_Cell04_GFP,yen,25,3831
20201017_MKY0140_07_Cell01_GFP,yen,25,3784
20201017_MKY0140_07_Cell02_GFP,yen,32,3246
20201017_MKY0140_07_Cell03_GFP,yen,30,3431
20201017_MKY0140_07_Cell04_GFP,yen,22,2801
20201017_MKY0140_08_Cell01_GFP,yen,27,2898
20201017_MKY0140_08_Cell02_GFP,yen,30,3413
20201017_MKY0140_08_Cell03_GFP,yen,30,2947
20201017_MKY0140_09_Cell01_GFP,yen,25,2547
20201017_MKY0140_09_Cell02_GFP,yen,30,3976
20201017_MKY0140_09_Cell03_GFP,yen,28,4190
20201017_MKY0140_09_Cell04_GFP,yen,36,3843
20201017_MKY0140_10_Cell01_GFP,yen,30,3817
20201017_MKY0140_10_Cell02_GFP,yen,27,3203
20201017_MKY0140_10_Cell03_GFP,yen,30,3289
20201017_MKY0140_10_Cell04_GFP,yen,33,4742
20201017_MKY0140_11_Cell01_GFP,yen,16,3083
20201017_MKY0140_11_Cell02_GFP,yen,33,3059
20201017_MKY0140_11_Cell03_GFP,yen,21,2560
20201017_MKY0140_11_Cell04_GFP,yen,29,3823
20201017_MKY0140_11_Cell05_GFP,yen,30,3164
20201017_MKY0140_12_Cell01_GFP,yen,32,3092
20201017_MKY0140_12_Cell02_GFP,yen,37,3389
20201017_MKY0140_12_Cell03_GFP,yen,24,3050
20201017_MKY0140_13_Cell01_GFP,yen,35,3380
20201017_MKY0140_13_Cell02_GFP,yen,37,2947
20201017_MKY0140_13_Cell03_GFP,yen,25,3103
20201017_MKY0140_14_Cell01_GFP,yen,19,2866
20201017_MKY0140_15_Cell01_GFP,yen,32,3992
20201017_MKY0140_15_Cell02_GFP,yen,30,3101
20201017_MKY0140_15_Cell03_GFP,yen,31,3870
20201017_MKY0140_15_Cell04_GFP,yen,29,3482
20201017_MKY0140_15_Cell05_GFP,yen,27,3444
20201017_MKY0654_01_Cell01_GFP,yen,27,3698
20201017_MKY0654_01_Cell02_GFP,yen,10,2514
20201017_MKY0654_01_Cell03_GFP,yen,12,2524
20201017_MKY0654_01_Cell04_GFP,yen,7,4211
20201017_MKY0654_02_Cell01_GFP,yen,13,3052
20201017_MKY0654_02_Cell02_GFP,yen,25,4083
20201017_MKY0654_02_Cell03_GFP,yen,19,2933
20201017_MKY0654_03_Cell01_GFP,yen,14,3781
20201017_MKY0654_03_Cell02_GFP,yen,17,2754
20201017_MKY0654_03_Cell03_GFP,yen,19,3045
20201017_MKY0654_03_Cell04_GFP,yen,20,3702
20201017_MKY0654_04_Cell01_GFP,yen,31,5438
20201017_MKY0654_04_Cell02_GFP,yen,11,2601
20201017_MKY0654_04_Cell03_GFP,yen,12,3260
20201017_MKY0654_05_Cell01_GFP,yen,18,3689
20201017_MKY0654_05_Cell02_GFP,yen,19,3735
20201017_MKY0654_05_Cell03_GFP,yen,15,3456
20201017_MKY0654_06_Cell01_GFP,yen,21,3645
20201017_MKY0654_06_Cell02_GFP,yen,11,2485
20201017_MKY0654_06_Cell03_GFP,yen,7,3070
20201017_MKY0654_07_Cell01_GFP,yen,8,3011
20201017_MKY0654_07_Cell02_GFP,yen,11,3315
20201017_MKY0654_07_Cell03_GFP,yen,13,3147
20201017_MKY0654_08_Cell01_GFP,yen,21,4886
20201017_MKY0654_08_Cell02_GFP,yen,22,4048
20201017_MKY0654_08_Cell03_GFP,yen,15,3147
20201017_MKY0654_08_Cell04_GFP,yen,18,3633
20201017_MKY0654_08_Cell05_GFP,yen,14,2839
20201017_MKY0654_09_Cell01_GFP,yen,11,3270
20201017_MKY0654_09_Cell02_GFP,yen,22,4498
20201017_MKY0654_09_Cell03_GFP,yen,17,3264
20201017_MKY0654_09_Cell04_GFP,yen,25,3251
20201017_MKY0654_10_Cell01_GFP,yen,21,3575
20201017_MKY0654_10_Cell02_GFP,yen,26,4796
20201017_MKY0654_10_Cell03_GFP,yen,16,3487
20201017_MKY0654_11_Cell01_GFP,yen,13,3658
20201017_MKY0654_11_Cell02_GFP,yen,18,3217
20201017_MKY0654_11_Cell03_GFP,yen,11,3362
20201017_MKY0654_12_Cell01_GFP,yen,10,3060
20201017_MKY0654_12_Cell02_GFP,yen,20,4310
20201017_MKY0654_13_Cell01_GFP,yen,10,2635
20201017_MKY0654_13_Cell02_GFP,yen,23,3408
20201017_MKY0654_13_Cell03_GFP,yen,20,3232
20201017_MKY0654_14_Cell01_GFP,yen,12,3038
20201017_MKY0654_14_Cell02_GFP,yen,16,4510
20201017_MKY0654_14_Cell03_GFP,yen,12,2923
20201017_MKY0654_14_Cell04_GFP,yen,14,2929
