"dataset","date","strain","movie","cell","patches","cross_area","area","density","ede1"
"2","20201018","MKY4282","16","Cell04","14","2799"," 46.6","0.3006","Sup35"
"2","20201018","MKY4282","17","Cell01","25","3355"," 55.8","0.4478","Sup35"
"2","20201018","MKY4282","17","Cell02","24","3595"," 59.8","0.4012","Sup35"
"2","20201018","MKY4282","17","Cell03","10","3733"," 62.1","0.1610","Sup35"
"2","20201018","MKY4282","18","Cell01","15","3901"," 64.9","0.2311","Sup35"
"2","20201018","MKY4282","18","Cell02","22","2557"," 42.6","0.5170","Sup35"
"2","20201018","MKY4282","18","Cell03","21","3527"," 58.7","0.3578","Sup35"
"2","20201018","MKY4291","01","Cell01","21","4158"," 69.2","0.3035","Snf5"
"2","20201018","MKY4291","01","Cell02","24","2749"," 45.7","0.5246","Snf5"
"2","20201018","MKY4291","01","Cell03","14","3549"," 59.1","0.2371","Snf5"
"2","20201018","MKY4291","01","Cell04","30","4734"," 78.8","0.3808","Snf5"
"2","20201018","MKY4291","01","Cell05","14","2587"," 43.1","0.3252","Snf5"
"2","20201018","MKY4291","02","Cell01","26","3460"," 57.6","0.4516","Snf5"
"2","20201018","MKY4291","02","Cell02","13","2452"," 40.8","0.3186","Snf5"
"2","20201018","MKY4291","02","Cell03","29","4209"," 70.0","0.4140","Snf5"
"2","20201018","MKY4291","03","Cell01","31","3305"," 55.0","0.5637","Snf5"
"2","20201018","MKY4291","03","Cell02","13","2798"," 46.6","0.2792","Snf5"
"2","20201018","MKY4291","03","Cell03","20","3288"," 54.7","0.3655","Snf5"
"2","20201018","MKY4291","03","Cell04","12","2807"," 46.7","0.2569","Snf5"
"2","20201018","MKY4291","03","Cell05","18","3084"," 51.3","0.3507","Snf5"
"2","20201018","MKY4291","04","Cell01","19","3814"," 63.5","0.2994","Snf5"
"2","20201018","MKY4291","04","Cell02","17","3026"," 50.4","0.3376","Snf5"
"2","20201018","MKY4291","04","Cell03","18","3004"," 50.0","0.3601","Snf5"
"2","20201018","MKY4291","04","Cell04","27","3650"," 60.7","0.4445","Snf5"
"2","20201018","MKY4291","04","Cell05","13","2965"," 49.3","0.2635","Snf5"
"2","20201018","MKY4291","05","Cell01","14","2823"," 47.0","0.2980","Snf5"
"2","20201018","MKY4291","05","Cell02","13","2339"," 38.9","0.3340","Snf5"
"2","20201018","MKY4291","05","Cell03","21","3950"," 65.7","0.3195","Snf5"
"2","20201018","MKY4291","05","Cell04","28","3524"," 58.6","0.4775","Snf5"
"2","20201018","MKY4291","05","Cell05","31","5057"," 84.2","0.3684","Snf5"
"2","20201018","MKY4291","06","Cell01","23","3751"," 62.4","0.3685","Snf5"
"2","20201018","MKY4291","06","Cell02","18","3080"," 51.3","0.3512","Snf5"
"2","20201018","MKY4291","06","Cell03","18","3759"," 62.6","0.2878","Snf5"
