Cell,Threshold,Patches,Cross_Area
20200809_MKY4343_16_Cell03_GFP,yen,21,3154
20200809_MKY4343_16_Cell04_GFP,yen,22,3122
20200809_MKY4343_16_Cell05_GFP,yen,15,2823
20200809_MKY4343_17_Cell01_GFP,yen,12,2674
20200809_MKY4343_17_Cell02_GFP,yen,19,2848
20200809_MKY4343_17_Cell03_GFP,yen,12,2542
20200809_MKY4343_17_Cell04_GFP,yen,30,3785
20200809_MKY4343_17_Cell06_GFP,yen,6,2904
20200809_MKY4343_17_Cell07_GFP,yen,18,2672
20200809_MKY4343_18_Cell01_GFP,yen,16,3397
20200809_MKY4343_18_Cell02_GFP,yen,13,3146
20200809_MKY4343_18_Cell03_GFP,yen,24,3344
20200809_MKY4343_18_Cell04_GFP,yen,16,3565
20200809_MKY4343_19_Cell01_GFP,yen,20,3010
20200809_MKY4343_19_Cell02_GFP,yen,14,2837
20200809_MKY4343_19_Cell03_GFP,yen,18,2716
20200809_MKY4343_19_Cell04_GFP,yen,15,2842
20200809_MKY4343_19_Cell05_GFP,yen,16,2897
20200809_MKY4343_19_Cell06_GFP,yen,16,3563
20200809_MKY4343_19_Cell07_GFP,yen,10,2627
20200809_MKY4343_20_Cell01_GFP,yen,13,2869
20200809_MKY4343_20_Cell02_GFP,yen,18,3527
20200809_MKY4343_20_Cell03_GFP,yen,15,3089
20200809_MKY4343_20_Cell04_GFP,yen,13,4896
20200809_MKY4343_21_Cell01_GFP,yen,15,2461
20200809_MKY4343_21_Cell02_GFP,yen,14,3262
20200809_MKY4343_21_Cell03_GFP,yen,20,2215
20200809_MKY4343_21_Cell04_GFP,yen,11,2823
20200809_MKY4343_22_Cell01_GFP,yen,13,3130
20200809_MKY4343_22_Cell02_GFP,yen,9,2675
20200809_MKY4343_22_Cell03_GFP,yen,25,3756
20200809_MKY4343_22_Cell04_GFP,yen,19,3451
20200809_MKY4343_23_Cell01_GFP,yen,13,3200
20200809_MKY4343_23_Cell02_GFP,yen,14,2244
20200809_MKY4343_23_Cell03_GFP,yen,18,3167
20200809_MKY4343_23_Cell04_GFP,yen,22,2924
