Cell,Threshold,Patches,Cross_Area
20210604_MKY0140_01_Cell01_GFP,yen,31,2429
20210604_MKY0140_01_Cell02_GFP,yen,16,1943
20210604_MKY0140_01_Cell03_GFP,yen,25,2307
20210604_MKY0140_01_Cell04_GFP,yen,31,2970
20210604_MKY0140_01_Cell05_GFP,yen,43,3246
20210604_MKY0140_02_Cell01_GFP,yen,24,2545
20210604_MKY0140_02_Cell02_GFP,yen,15,2088
20210604_MKY0140_02_Cell03_GFP,yen,17,2426
20210604_MKY0140_02_Cell04_GFP,yen,32,3293
20210604_MKY0140_03_Cell01_GFP,yen,33,2899
20210604_MKY0140_03_Cell02_GFP,yen,24,2362
20210604_MKY0140_03_Cell03_GFP,yen,34,2943
20210604_MKY0140_03_Cell04_GFP,yen,33,3323
20210604_MKY0140_03_Cell05_GFP,yen,22,2420
20210604_MKY0140_04_Cell01_GFP,yen,32,2663
20210604_MKY0140_04_Cell02_GFP,yen,37,2848
20210604_MKY0140_04_Cell03_GFP,yen,17,3177
20210604_MKY0140_04_Cell04_GFP,yen,24,2665
20210604_MKY0140_04_Cell05_GFP,yen,17,2237
20210604_MKY0140_05_Cell01_GFP,yen,24,2667
20210604_MKY0140_05_Cell02_GFP,yen,23,2870
20210604_MKY0140_05_Cell03_GFP,yen,36,3414
20210604_MKY0140_05_Cell04_GFP,yen,30,2163
20210604_MKY0140_06_Cell01_GFP,yen,30,3105
20210604_MKY0140_06_Cell02_GFP,yen,27,3300
20210604_MKY0140_06_Cell03_GFP,yen,40,3098
20210604_MKY0140_07_Cell01_GFP,yen,28,2646
20210604_MKY0140_07_Cell02_GFP,yen,19,1984
20210604_MKY0140_07_Cell03_GFP,yen,35,2829
20210604_MKY0140_08_Cell01_GFP,yen,27,2750
20210604_MKY0140_08_Cell02_GFP,yen,36,3149
20210604_MKY0140_08_Cell03_GFP,yen,19,2622
20210604_MKY0140_08_Cell04_GFP,yen,30,2528
20210604_MKY0140_08_Cell05_GFP,yen,33,3236
20210604_MKY0140_09_Cell01_GFP,yen,29,3072
20210604_MKY0140_09_Cell02_GFP,yen,20,2488
20210604_MKY0140_09_Cell03_GFP,yen,22,2857
20210604_MKY0140_09_Cell04_GFP,yen,18,2656
20210604_MKY0140_09_Cell05_GFP,yen,23,2295
20210604_MKY0140_10_Cell01_GFP,yen,28,2533
20210604_MKY0140_10_Cell02_GFP,yen,30,3182
20210604_MKY0140_10_Cell03_GFP,yen,6,1914
20210604_MKY0140_10_Cell04_GFP,yen,24,2849
20210604_MKY0140_10_Cell05_GFP,yen,29,2785
20210604_MKY0140_11_Cell01_GFP,yen,33,4051
20210604_MKY0140_11_Cell02_GFP,yen,26,2309
20210604_MKY0140_11_Cell03_GFP,yen,27,2675
20210604_MKY0140_12_Cell01_GFP,yen,28,2245
20210604_MKY0140_12_Cell02_GFP,yen,26,2779
20210604_MKY0140_12_Cell03_GFP,yen,31,2982
20210604_MKY0140_12_Cell04_GFP,yen,28,3411
20210604_MKY0140_12_Cell4_GFP,yen,28,3411
20210604_MKY0140_13_Cell01_GFP,yen,28,3416
20210604_MKY0140_13_Cell02_GFP,yen,31,2720
20210604_MKY0140_13_Cell03_GFP,yen,14,1863
20210604_MKY0140_14_Cell01_GFP,yen,25,3447
20210604_MKY0140_14_Cell02_GFP,yen,31,2941
20210604_MKY0140_14_Cell03_GFP,yen,24,3375
20210604_MKY0140_14_Cell04_GFP,yen,26,3216
20210604_MKY0140_15_Cell01_GFP,yen,29,2466
20210604_MKY0140_15_Cell02_GFP,yen,24,2248
20210604_MKY0140_15_Cell03_GFP,yen,32,3157
20210604_MKY0654_01_Cell01_GFP,yen,13,2556
20210604_MKY0654_01_Cell02_GFP,yen,11,2390
20210604_MKY0654_01_Cell03_GFP,yen,8,2545
20210604_MKY0654_01_Cell04_GFP,yen,14,3435
20210604_MKY0654_02_Cell01_GFP,yen,15,3126
20210604_MKY0654_02_Cell02_GFP,yen,14,2604
20210604_MKY0654_02_Cell03_GFP,yen,5,2329
20210604_MKY0654_02_Cell04_GFP,yen,20,3321
20210604_MKY0654_02_Cell05_GFP,yen,15,2766
20210604_MKY0654_03_Cell01_GFP,yen,26,3527
20210604_MKY0654_03_Cell02_GFP,yen,13,3129
20210604_MKY0654_03_Cell03_GFP,yen,21,3619
20210604_MKY0654_04_Cell01_GFP,yen,13,2773
20210604_MKY0654_04_Cell02_GFP,yen,13,2846
20210604_MKY0654_04_Cell03_GFP,yen,10,3113
20210604_MKY0654_04_Cell04_GFP,yen,21,2989
20210604_MKY0654_05_Cell01_GFP,yen,11,3495
20210604_MKY0654_05_Cell02_GFP,yen,10,1900
20210604_MKY0654_05_Cell03_GFP,yen,15,3223
20210604_MKY0654_05_Cell04_GFP,yen,22,2686
20210604_MKY0654_06_Cell01_GFP,yen,8,2490
20210604_MKY0654_06_Cell02_GFP,yen,11,2855
20210604_MKY0654_06_Cell03_GFP,yen,10,2187
20210604_MKY0654_07_Cell01_GFP,yen,11,3385
20210604_MKY0654_07_Cell02_GFP,yen,8,2387
20210604_MKY0654_07_Cell03_GFP,yen,12,2431
20210604_MKY0654_07_Cell04_GFP,yen,8,3469
20210604_MKY0654_08_Cell01_GFP,yen,8,2631
20210604_MKY0654_08_Cell02_GFP,yen,18,3684
20210604_MKY0654_08_Cell03_GFP,yen,16,3496
20210604_MKY0654_08_Cell04_GFP,yen,21,2672
20210604_MKY0654_08_Cell05_GFP,yen,19,2681
20210604_MKY0654_09_Cell01_GFP,yen,16,2858
20210604_MKY0654_09_Cell02_GFP,yen,8,2365
20210604_MKY0654_09_Cell03_GFP,yen,17,2621
20210604_MKY0654_10_Cell01_GFP,yen,17,2204
20210604_MKY0654_10_Cell02_GFP,yen,13,3023
20210604_MKY0654_10_Cell03_GFP,yen,17,3423
20210604_MKY0654_10_Cell04_GFP,yen,22,3163
20210604_MKY0654_11_Cell01_GFP,yen,12,2949
20210604_MKY0654_11_Cell02_GFP,yen,12,3356
20210604_MKY0654_11_Cell03_GFP,yen,18,3034
20210604_MKY0654_12_Cell01_GFP,yen,13,2920
20210604_MKY0654_12_Cell02_GFP,yen,19,3079
20210604_MKY0654_12_Cell03_GFP,yen,12,3067
20210604_MKY0654_13_Cell01_GFP,yen,21,3350
20210604_MKY0654_13_Cell02_GFP,yen,14,3019
20210604_MKY0654_13_Cell03_GFP,yen,14,3447
20210604_MKY0654_14_Cell01_GFP,yen,16,3382
20210604_MKY0654_14_Cell02_GFP,yen,28,3945
20210604_MKY0654_14_Cell03_GFP,yen,21,3540
20210604_MKY0654_14_Cell04_GFP,yen,28,4443
20210604_MKY0654_15_Cell01_GFP,yen,16,2658
20210604_MKY0654_15_Cell02_GFP,yen,15,2971
20210604_MKY0654_15_Cell03_GFP,yen,27,3541
20210604_MKY0654_15_Cell04_GFP,yen,17,3009
20210604_MKY4343R_01_Cell01_GFP,yen,14,2556
20210604_MKY4343R_01_Cell02_GFP,yen,19,2379
20210604_MKY4343R_01_Cell03_GFP,yen,17,2294
20210604_MKY4343R_01_Cell04_GFP,yen,21,2765
20210604_MKY4343R_02_Cell01_GFP,yen,27,2850
20210604_MKY4343R_02_Cell02_GFP,yen,15,3106
20210604_MKY4343R_02_Cell03_GFP,yen,15,2256
20210604_MKY4343R_03_Cell01_GFP,yen,18,2697
20210604_MKY4343R_03_Cell02_GFP,yen,16,2975
20210604_MKY4343R_03_Cell03_GFP,yen,13,1758
20210604_MKY4343R_03_Cell04_GFP,yen,30,3837
20210604_MKY4343R_04_Cell01_GFP,yen,15,2372
20210604_MKY4343R_04_Cell02_GFP,yen,5,2151
20210604_MKY4343R_04_Cell03_GFP,yen,26,3361
20210604_MKY4343R_05_Cell01_GFP,yen,9,2442
20210604_MKY4343R_05_Cell02_GFP,yen,12,2445
20210604_MKY4343R_05_Cell03_GFP,yen,15,2330
20210604_MKY4343R_05_Cell04_GFP,yen,26,2956
20210604_MKY4343R_06_Cell01_GFP,yen,7,3082
20210604_MKY4343R_06_Cell02_GFP,yen,10,2034
20210604_MKY4343R_06_Cell03_GFP,yen,19,2405
20210604_MKY4343R_07_Cell01_GFP,yen,14,3092
20210604_MKY4343R_07_Cell02_GFP,yen,11,2681
20210604_MKY4343R_07_Cell03_GFP,yen,22,2964
20210604_MKY4343R_08_Cell01_GFP,yen,20,2489
20210604_MKY4343R_08_Cell02_GFP,yen,21,3119
20210604_MKY4343R_08_Cell03_GFP,yen,24,2378
20210604_MKY4343R_09_Cell01_GFP,yen,15,2839
20210604_MKY4343R_09_Cell02_GFP,yen,16,2833
20210604_MKY4343R_09_Cell03_GFP,yen,18,2446
20210604_MKY4343R_10_Cell01_GFP,yen,25,3002
20210604_MKY4343R_10_Cell02_GFP,yen,21,3253
20210604_MKY4343R_10_Cell03_GFP,yen,27,3139
20210604_MKY4343R_11_Cell01_GFP,yen,19,2979
20210604_MKY4343R_11_Cell02_GFP,yen,13,2900
20210604_MKY4343R_11_Cell03_GFP,yen,24,3095
20210604_MKY4343R_12_Cell01_GFP,yen,18,3069
20210604_MKY4343R_12_Cell02_GFP,yen,19,2757
20210604_MKY4343R_12_Cell03_GFP,yen,16,2817
20210604_MKY4343R_12_Cell04_GFP,yen,25,3424
20210604_MKY4343R_12_Cell05_GFP,yen,18,2320
20210604_MKY4343R_13_Cell01_GFP,yen,15,3405
