 ,Mean
1,102.120
2,101.640
3,101.760
4,102.080
5,101.520
6,102.520
7,102.000
8,102.160
9,103.120
10,103.080
11,101.320
12,101.240
13,101.840
14,102.560
15,103.160
16,101.800
17,102.280
18,103.320
19,103.080
20,103.280
21,103.080
22,103.640
23,103.160
24,103.400
25,103.040
26,102.640
27,103.200
28,103.640
29,104.240
30,103.280
31,102.560
32,103.280
33,103.400
34,104.840
35,103.720
36,103.120
37,102.840
38,102.800
39,103.600
40,102.920
41,103.360
42,103.080
43,103.080
44,103.480
45,103.680
46,104.520
47,103.840
48,102.760
49,103.080
50,102.240
51,103.200
52,103.080
53,103.040
54,102.480
55,102.920
56,103.480
57,102.440
58,103.040
59,103.640
60,103.200
61,104.160
62,102.880
63,103.640
64,102.840
65,103.440
66,103.200
67,102.720
68,102.520
69,103.120
70,103.200
71,104.320
72,103.840
73,103.320
74,104.120
75,105.000
76,104.240
77,104.000
78,103.640
79,103.360
80,105.440
81,103.520
82,104.800
83,106.400
84,105.880
85,106.360
86,103.520
87,103.920
88,104.880
89,103.920
90,103.640
91,103.520
92,102.000
93,102.720
94,103.200
95,104.880
96,104.920
97,105.120
