 ,Mean
1,102.574
2,102.502
3,102.186
4,102.159
5,102.198
6,102.214
7,102.062
8,102.371
9,102.234
10,102.347
11,102.352
12,102.411
13,102.424
14,102.543
15,102.618
16,102.599
17,102.490
18,102.494
19,102.652
20,102.791
21,102.712
22,102.739
23,102.934
24,102.877
25,102.967
26,103.072
27,103.100
28,103.117
29,103.243
30,102.991
31,103.234
32,103.443
33,103.828
34,103.652
35,103.908
36,103.899
37,104.120
38,104.461
39,104.267
40,104.792
41,104.907
42,104.984
43,105.359
44,105.382
45,105.398
46,105.603
47,106.111
48,106.169
49,105.887
50,106.055
51,106.916
52,106.697
53,106.812
54,107.191
55,107.935
56,107.628
57,107.629
58,107.666
59,107.641
60,107.910
61,108.788
62,108.974
63,109.677
64,109.484
65,110.284
66,110.337
67,110.623
68,111.263
69,112.074
70,111.788
71,111.506
72,111.694
73,111.564
74,111.912
75,112.249
76,112.162
77,111.277
78,111.624
79,111.509
80,111.813
81,110.766
82,110.192
83,110.414
84,110.541
85,110.662
86,110.447
87,109.873
88,109.553
89,109.650
90,109.692
91,109.136
92,108.583
93,108.593
94,109.309
95,108.655
96,108.406
97,107.621
