 ,Mean
1,103.006
2,102.823
3,102.613
4,102.747
5,102.683
6,102.637
7,102.589
8,102.568
9,102.713
10,102.686
11,102.772
12,102.614
13,102.717
14,102.720
15,103.052
16,102.862
17,102.883
18,102.730
19,102.892
20,103.088
21,103.227
22,103.395
23,103.537
24,103.662
25,103.739
26,103.992
27,104.090
28,104.002
29,104.018
30,104.115
31,104.332
32,104.374
33,104.499
34,104.373
35,104.682
36,104.355
37,104.495
38,104.388
39,104.464
40,104.675
41,104.922
42,104.823
43,105.149
44,104.753
45,105.291
46,105.378
47,105.615
48,105.809
49,105.647
50,105.867
51,106.065
52,106.040
53,106.295
54,106.883
55,106.362
56,107.191
57,107.653
58,108.131
59,107.929
60,107.403
61,107.443
62,107.766
63,108.505
64,108.252
65,107.883
66,107.795
67,107.465
68,107.683
69,108.091
70,108.764
71,108.947
72,108.968
73,109.106
74,110.016
75,110.644
76,111.495
77,111.315
78,112.130
79,112.526
80,113.052
81,113.561
82,114.321
83,115.135
84,113.569
85,113.268
86,113.046
87,114.547
88,114.106
89,114.796
90,115.865
91,115.528
92,115.862
93,114.949
94,114.945
95,114.497
96,114.181
97,113.501
