 ,Mean
1,102.316
2,102.168
3,101.943
4,101.967
5,101.930
6,101.867
7,101.831
8,101.956
9,102.005
10,102.022
11,102.165
12,102.258
13,102.195
14,102.262
15,102.251
16,102.394
17,102.345
18,102.479
19,102.651
20,102.631
21,102.670
22,102.851
23,103.017
24,103.151
25,103.453
26,103.398
27,103.821
28,103.872
29,103.905
30,104.379
31,104.340
32,104.583
33,104.939
34,104.999
35,105.084
36,105.861
37,105.814
38,105.626
39,106.051
40,106.374
41,106.468
42,106.709
43,107.714
44,106.989
45,107.216
46,107.049
47,106.952
48,106.712
49,107.722
50,107.805
51,107.556
52,108.532
53,107.692
54,107.928
55,107.432
56,107.327
57,108.095
58,107.553
59,107.450
60,107.458
61,108.295
62,108.285
63,108.454
64,107.954
65,108.250
66,108.611
67,107.724
68,107.980
69,108.754
70,108.169
71,107.717
72,108.425
73,108.368
74,108.262
75,108.030
76,108.163
77,107.783
78,107.807
79,108.281
80,107.572
81,107.376
82,107.183
83,107.658
84,107.313
85,107.643
86,108.445
87,108.321
88,108.524
89,108.155
90,108.354
91,108.432
92,108.644
93,108.948
94,108.992
95,109.371
96,109.402
97,110.690
