 ,Mean
1,103.859
2,103.857
3,103.971
4,104.136
5,103.885
6,104.504
7,104.702
8,104.848
9,105.005
10,105.841
11,105.009
12,104.949
13,105.259
14,105.383
15,105.622
16,105.166
17,105.457
18,105.033
19,105.546
20,105.081
21,105.805
22,105.425
23,105.337
24,105.348
25,105.731
26,105.235
27,105.512
28,105.350
29,105.626
30,104.982
31,104.642
32,104.854
33,105.407
34,104.841
35,104.743
36,104.196
37,104.728
38,104.412
39,104.864
40,104.687
41,104.570
42,105.133
43,105.414
44,105.049
45,105.288
46,104.969
47,105.112
48,105.323
49,105.454
50,105.151
51,105.398
52,105.457
53,105.383
54,105.586
55,105.113
56,106.005
57,105.611
58,105.817
59,106.102
60,105.833
61,105.378
62,105.986
63,106.386
64,106.270
65,106.225
66,106.268
67,106.456
68,106.020
69,106.238
70,106.171
71,106.394
72,106.580
73,106.307
74,106.547
75,105.975
76,106.099
77,106.730
78,106.016
79,106.337
80,106.596
81,106.824
82,106.758
83,106.772
84,106.192
85,106.356
86,107.022
87,106.523
88,106.734
89,106.784
90,106.834
91,106.296
92,106.877
93,107.127
94,107.030
95,107.313
96,107.377
97,107.705
