 ,Mean
1,103.520
2,105.000
3,103.360
4,104.440
5,102.360
6,103.240
7,104.520
8,103.320
9,104.240
10,103.160
11,103.400
12,102.440
13,103.240
14,103.640
15,103.320
16,103.120
17,102.800
18,104.000
19,104.080
20,102.640
21,103.800
22,103.800
23,104.720
24,102.840
25,104.360
26,103.400
27,103.800
28,103.880
29,104.720
30,104.400
31,103.880
32,104.200
33,105.400
34,106.000
35,106.040
36,106.560
37,107.720
38,105.000
39,106.520
40,108.360
41,106.240
42,107.760
43,105.720
44,106.640
45,107.320
46,108.480
47,107.000
48,106.240
49,106.280
50,106.560
51,107.400
52,107.120
53,106.320
54,106.800
55,107.280
56,106.640
57,105.600
58,105.840
59,105.080
60,105.600
61,105.440
62,105.840
63,106.800
64,104.720
65,105.280
66,105.600
67,105.920
68,107.560
69,106.560
70,106.200
71,106.040
72,109.760
73,106.800
74,106.240
75,107.000
76,106.000
77,106.760
78,106.520
79,106.240
80,106.360
81,106.400
82,105.360
83,107.240
84,106.280
85,107.440
86,107.480
87,108.120
88,107.480
89,107.400
90,107.040
91,107.120
92,106.800
93,108.320
94,107.280
95,107.200
96,108.200
97,107.640
