 ,Mean
1,106.680
2,107.840
3,107.320
4,107.080
5,107.720
6,107.360
7,106.880
8,106.080
9,108.160
10,108.120
11,108.120
12,107.080
13,106.160
14,106.320
15,107.680
16,108.160
17,107.640
18,107.400
19,107.280
20,109.040
21,107.960
22,107.480
23,107.280
24,106.960
25,107.080
26,105.440
27,106.760
28,107.400
29,107.720
30,107.480
31,108.560
32,106.760
33,107.600
34,107.520
35,107.760
36,107.280
37,106.000
38,106.800
39,106.800
40,104.160
41,105.760
42,103.680
43,103.680
44,103.880
45,105.920
46,106.960
47,106.880
48,104.880
49,105.920
50,106.120
51,106.080
52,104.880
53,106.920
54,104.960
55,107.200
56,105.800
57,106.440
58,108.400
59,107.000
60,106.680
61,106.840
62,105.040
63,105.840
64,104.600
65,102.840
66,102.720
67,103.440
68,106.080
69,104.320
70,103.360
71,104.760
72,106.000
73,105.760
74,104.560
75,104.360
76,104.840
77,105.280
78,104.760
79,104.400
80,106.560
81,106.000
82,104.280
83,107.080
84,105.520
85,106.760
86,106.040
87,105.400
88,104.760
89,104.800
90,106.400
91,105.480
92,105.600
93,105.160
94,103.240
95,103.680
96,103.920
97,105.440
