 ,Mean
1,103.920
2,103.880
3,103.920
4,104.160
5,104.240
6,104.680
7,104.040
8,104.520
9,105.160
10,104.800
11,105.320
12,105.560
13,103.640
14,102.280
15,103.280
16,102.760
17,103.360
18,102.680
19,103.560
20,102.920
21,103.240
22,103.120
23,104.080
24,102.760
25,102.760
26,102.920
27,103.400
28,103.000
29,103.160
30,102.600
31,103.160
32,103.280
33,101.280
34,102.360
35,102.360
36,101.720
37,101.560
38,102.320
39,102.360
40,102.000
41,102.160
42,102.520
43,101.480
44,102.320
45,102.120
46,101.920
47,101.720
48,102.200
49,101.880
50,102.320
51,102.000
52,101.680
53,103.120
54,102.040
55,103.360
56,102.560
57,102.560
58,102.160
59,102.560
60,102.760
61,103.280
62,104.320
63,104.000
64,103.880
65,103.560
66,103.960
67,104.280
68,103.960
69,103.240
70,103.800
71,104.520
72,103.480
73,103.520
74,103.360
75,103.960
76,103.680
77,104.360
78,103.680
79,103.400
80,104.400
81,104.520
82,104.080
83,103.640
84,103.520
85,104.480
86,104.080
87,104.400
88,104.120
89,104.320
90,103.360
91,104.080
92,103.640
93,104.120
94,102.920
95,102.880
96,103.080
97,103.840
