 ,Mean
1,107.963
2,108.185
3,107.893
4,107.528
5,107.292
6,107.186
7,107.110
8,107.764
9,107.921
10,107.566
11,107.643
12,108.150
13,108.204
14,108.033
15,108.221
16,108.855
17,107.986
18,108.115
19,108.542
20,108.280
21,107.966
22,108.450
23,107.658
24,107.860
25,107.567
26,108.722
27,108.666
28,107.799
29,107.817
30,108.085
31,108.311
32,108.254
33,108.169
34,108.104
35,108.863
36,108.318
37,108.499
38,108.072
39,108.964
40,108.455
41,108.951
42,108.918
43,108.913
44,108.765
45,109.238
46,108.634
47,108.609
48,108.971
49,108.537
50,109.347
51,108.845
52,108.955
53,108.913
54,108.073
55,108.411
56,109.057
57,108.463
58,109.049
59,108.999
60,108.499
61,108.586
62,109.069
63,109.287
64,109.200
65,109.376
66,108.599
67,108.813
68,109.326
69,109.070
70,109.507
71,110.202
72,109.110
73,109.058
74,109.972
75,109.272
76,109.926
77,109.742
78,109.998
79,109.142
80,109.651
81,109.933
82,110.297
83,109.957
84,110.596
85,110.258
86,110.507
87,110.525
88,110.881
89,109.738
90,110.640
91,111.038
92,110.182
93,110.435
94,110.185
95,109.863
96,109.607
97,110.550
