 ,Mean
1,100.720
2,100.280
3,100.040
4,100.080
5,100.600
6,100.360
7,100.160
8,100.120
9,100.240
10,100.160
11,100.920
12,99.480
13,101.080
14,100.080
15,100.280
16,99.800
17,99.920
18,99.680
19,99.920
20,100.400
21,100.080
22,100.480
23,100.320
24,100.040
25,100.360
26,100.200
27,100.080
28,100.240
29,100.800
30,99.960
31,100.160
32,100.320
33,99.760
34,99.840
35,99.840
36,100.240
37,100.200
38,99.760
39,100.400
40,100.640
41,100.080
42,100.640
43,100.800
44,100.720
45,100.800
46,100.560
47,100.320
48,100.520
49,100.120
50,100.560
51,100.120
52,99.920
53,100.480
54,100.800
55,100.640
56,100.280
57,100.160
58,100.000
59,100.440
60,100.360
61,100.760
62,100.360
63,100.560
64,99.920
65,100.600
66,100.320
67,100.240
68,100.320
69,100.880
70,100.880
71,100.360
72,100.160
73,100.400
74,100.960
75,100.320
76,100.080
77,100.720
78,100.560
79,101.160
80,100.840
81,100.560
82,100.360
83,100.080
84,100.640
85,100.080
86,100.280
87,100.560
88,100.280
89,100.800
90,100.680
91,99.920
92,100.080
93,100.240
94,100.280
95,100.400
96,100.680
97,101.240
