 ,Mean
1,102.376
2,102.194
3,102.101
4,102.041
5,101.931
6,102.206
7,102.304
8,102.302
9,102.403
10,102.444
11,102.594
12,102.764
13,102.996
14,103.218
15,103.472
16,103.882
17,104.200
18,104.739
19,104.372
20,104.932
21,104.683
22,105.108
23,105.308
24,105.755
25,105.707
26,105.670
27,105.967
28,105.602
29,106.129
30,105.905
31,106.082
32,105.505
33,106.010
34,105.758
35,106.031
36,105.981
37,106.623
38,105.778
39,106.397
40,106.974
41,106.584
42,106.966
43,107.117
44,107.656
45,107.254
46,107.167
47,107.387
48,108.087
49,108.165
50,108.559
51,108.977
52,108.876
53,109.159
54,108.450
55,108.606
56,108.888
57,108.497
58,108.101
59,108.755
60,108.594
61,108.785
62,108.409
63,110.099
64,109.078
65,110.167
66,109.551
67,108.731
68,109.238
69,109.677
70,110.021
71,110.342
72,110.894
73,110.124
74,110.241
75,110.513
76,110.409
77,110.616
78,111.521
79,110.891
80,111.421
81,111.441
82,111.076
83,111.841
84,112.677
85,112.475
86,112.224
87,112.666
88,112.664
89,113.046
90,114.218
91,115.064
92,114.311
93,114.497
94,113.272
95,112.648
96,112.988
97,112.218
