 ,Mean
1,105.600
2,106.520
3,103.640
4,103.560
5,103.400
6,103.440
7,102.920
8,103.440
9,104.480
10,103.920
11,104.080
12,105.080
13,103.960
14,104.120
15,104.280
16,103.520
17,103.480
18,103.440
19,103.600
20,103.720
21,102.960
22,103.840
23,104.440
24,103.880
25,104.920
26,103.440
27,103.840
28,103.680
29,103.760
30,104.640
31,104.000
32,104.880
33,103.960
34,104.640
35,104.800
36,103.960
37,105.360
38,104.640
39,105.120
40,104.880
41,105.280
42,104.560
43,105.560
44,106.200
45,105.160
46,103.680
47,103.400
48,104.720
49,104.880
50,104.200
51,106.040
52,103.800
53,106.080
54,104.800
55,105.000
56,105.320
57,104.160
58,105.480
59,105.440
60,106.760
61,104.560
62,105.800
63,104.720
64,104.760
65,104.360
66,104.640
67,105.000
68,104.040
69,104.840
70,104.760
71,104.600
72,106.320
73,105.320
74,104.760
75,104.040
76,103.840
77,104.720
78,105.200
79,105.200
80,105.440
81,104.520
82,104.280
83,105.440
84,103.880
85,104.680
86,103.720
87,104.720
88,104.120
89,104.760
90,104.160
91,105.040
92,104.800
93,104.440
94,104.360
95,104.960
96,103.840
97,103.720
