 ,Mean
1,106.127
2,105.565
3,105.302
4,105.092
5,105.820
6,105.590
7,106.301
8,105.900
9,106.730
10,106.527
11,107.046
12,107.215
13,107.872
14,107.185
15,107.704
16,106.995
17,107.737
18,107.449
19,107.970
20,107.465
21,107.816
22,108.159
23,107.761
24,107.575
25,107.385
26,107.428
27,107.414
28,108.319
29,107.250
30,107.306
31,107.595
32,107.053
33,107.157
34,108.153
35,107.836
36,108.150
37,107.971
38,108.139
39,108.336
40,108.528
41,107.816
42,108.235
43,108.730
44,107.670
45,108.010
46,108.051
47,108.618
48,108.116
49,108.218
50,109.005
51,108.368
52,108.409
53,108.490
54,108.628
55,108.287
56,107.972
57,108.428
58,107.437
59,108.294
60,107.279
61,106.136
62,106.527
63,106.713
64,106.476
65,106.583
66,105.968
67,105.974
68,105.513
69,104.967
70,104.650
71,104.486
72,105.485
73,105.150
74,104.909
75,104.964
76,105.278
77,105.532
78,105.250
79,105.245
80,105.737
81,105.694
82,105.415
83,105.894
84,105.878
85,105.907
86,106.580
87,106.589
88,106.838
89,106.503
90,107.043
91,107.193
92,107.605
93,106.992
94,107.364
95,107.059
96,107.074
97,106.918
