 ,Mean
1,102.920
2,102.400
3,102.960
4,103.600
5,102.760
6,103.160
7,102.680
8,103.600
9,103.400
10,103.920
11,103.640
12,104.240
13,105.360
14,104.240
15,104.560
16,104.160
17,103.360
18,103.720
19,104.960
20,104.960
21,103.080
22,104.840
23,103.720
24,101.920
25,103.840
26,102.000
27,105.800
28,103.480
29,102.720
30,102.560
31,102.320
32,102.920
33,102.280
34,102.080
35,102.440
36,101.880
37,101.560
38,101.000
39,101.600
40,102.600
41,101.800
42,103.480
43,102.080
44,103.160
45,103.040
46,103.440
47,102.680
48,102.720
49,103.160
50,102.880
51,102.480
52,103.920
53,103.000
54,103.240
55,103.880
56,102.760
57,103.440
58,102.760
59,104.200
60,103.760
61,103.360
62,103.760
63,103.360
64,103.280
65,103.840
66,103.640
67,104.120
68,103.360
69,103.800
70,103.560
71,104.200
72,103.640
73,102.840
74,103.560
75,103.120
76,102.920
77,104.080
78,103.600
79,103.160
80,103.120
81,104.240
82,103.400
83,104.480
84,103.880
85,104.600
86,104.920
87,104.200
88,103.520
89,104.440
90,104.320
91,103.560
92,104.280
93,103.360
94,103.760
95,104.160
96,103.600
97,104.440
