 ,Mean
1,104.400
2,102.920
3,103.280
4,103.440
5,101.920
6,103.560
7,103.320
8,104.080
9,103.720
10,104.000
11,103.400
12,103.160
13,102.080
14,104.560
15,103.440
16,102.720
17,102.720
18,103.280
19,102.840
20,103.160
21,102.520
22,104.520
23,104.080
24,102.120
25,102.520
26,104.760
27,103.760
28,103.040
29,103.000
30,103.320
31,103.600
32,104.000
33,101.920
34,102.760
35,102.680
36,101.760
37,102.120
38,102.000
39,101.160
40,102.440
41,104.480
42,103.360
43,103.440
44,103.280
45,104.440
46,103.040
47,104.520
48,105.240
49,104.320
50,104.440
51,104.960
52,105.040
53,104.960
54,104.640
55,104.880
56,104.760
57,106.280
58,104.680
59,104.040
60,104.120
61,103.840
62,104.280
63,104.600
64,104.920
65,105.480
66,105.200
67,105.600
68,106.000
69,106.240
70,104.160
71,104.920
72,104.920
73,104.880
74,105.920
75,105.160
76,104.040
77,103.680
78,105.080
79,104.680
80,103.120
81,103.400
82,103.120
83,103.640
84,103.160
85,103.560
86,103.240
87,104.360
88,104.480
89,104.360
90,105.160
91,105.240
92,104.320
93,104.680
94,104.040
95,105.160
96,104.240
97,104.320
