 ,Mean
1,105.763
2,105.375
3,105.574
4,104.753
5,104.743
6,105.111
7,105.057
8,105.101
9,105.661
10,106.000
11,105.601
12,106.302
13,107.176
14,106.681
15,107.168
16,107.830
17,107.940
18,108.137
19,107.260
20,107.850
21,107.812
22,107.786
23,108.641
24,107.825
25,107.024
26,108.830
27,107.513
28,107.562
29,106.968
30,107.391
31,107.418
32,107.394
33,108.081
34,108.420
35,107.125
36,108.244
37,108.028
38,107.791
39,108.142
40,107.732
41,107.513
42,106.861
43,106.454
44,107.239
45,106.884
46,107.239
47,108.143
48,107.496
49,107.447
50,107.630
51,106.526
52,107.710
53,107.761
54,107.854
55,108.554
56,108.012
57,107.841
58,107.212
59,107.864
60,107.868
61,107.360
62,107.381
63,107.871
64,107.490
65,108.127
66,107.295
67,107.506
68,108.100
69,108.044
70,108.080
71,108.183
72,108.073
73,108.570
74,108.497
75,107.930
76,108.326
77,108.157
78,108.193
79,108.286
80,108.313
81,108.320
82,108.356
83,109.159
84,108.513
85,107.980
86,107.547
87,108.329
88,108.582
89,108.923
90,108.178
91,108.022
92,108.530
93,108.377
94,108.235
95,108.141
96,108.624
97,108.649
