 ,Mean
1,111.893
2,111.668
3,110.683
4,110.759
5,111.144
6,110.942
7,112.120
8,111.211
9,111.131
10,110.415
11,110.570
12,111.236
13,110.161
14,111.048
15,111.120
16,111.543
17,110.609
18,110.740
19,110.621
20,111.569
21,110.359
22,110.688
23,110.158
24,110.492
25,110.972
26,111.353
27,111.001
28,110.990
29,111.411
30,111.348
31,110.978
32,110.801
33,111.431
34,111.502
35,112.015
36,111.885
37,111.525
38,111.986
39,112.416
40,112.423
41,112.474
42,112.212
43,111.647
44,112.261
45,112.510
46,112.185
47,112.194
48,112.218
49,112.389
50,111.569
51,112.224
52,112.025
53,112.630
54,112.196
55,113.023
56,112.798
57,112.552
58,113.035
59,112.524
60,111.321
61,112.197
62,112.273
63,112.493
64,111.255
65,112.308
66,111.437
67,113.821
68,113.634
69,113.535
70,112.895
71,113.616
72,112.680
73,114.388
74,113.452
75,113.836
76,113.580
77,114.006
78,113.960
79,113.322
80,114.285
81,113.311
82,113.379
83,113.379
84,114.274
85,112.992
86,114.893
87,114.798
88,113.710
89,113.688
90,114.039
91,115.600
92,113.372
93,114.160
94,114.562
95,114.150
96,114.399
97,114.040
