 ,Mean
1,100.600
2,100.480
3,100.120
4,100.680
5,101.240
6,100.080
7,100.040
8,100.000
9,100.280
10,100.480
11,100.360
12,100.600
13,100.720
14,100.200
15,100.240
16,100.520
17,100.200
18,100.240
19,100.920
20,100.760
21,100.440
22,100.480
23,99.840
24,100.680
25,100.160
26,100.720
27,101.160
28,100.480
29,100.400
30,100.640
31,100.200
32,100.640
33,100.720
34,100.440
35,100.360
36,100.800
37,100.680
38,100.560
39,100.960
40,100.640
41,101.080
42,100.680
43,100.240
44,100.800
45,100.560
46,100.000
47,100.400
48,100.760
49,100.840
50,100.000
51,101.200
52,100.800
53,100.800
54,101.200
55,100.240
56,100.520
57,101.000
58,100.840
59,100.640
60,100.880
61,100.280
62,100.440
63,99.960
64,100.200
65,100.280
66,100.240
67,100.680
68,100.640
69,100.840
70,100.760
71,100.280
72,100.480
73,100.600
74,101.160
75,100.560
76,100.560
77,100.320
78,100.400
79,100.840
80,100.880
81,100.840
82,100.760
83,101.240
84,100.760
85,100.560
86,100.760
87,100.680
88,100.600
89,100.160
90,101.120
91,100.600
92,100.800
93,101.200
94,100.320
95,100.760
96,100.760
97,100.120
