 ,Mean
1,103.360
2,103.840
3,104.600
4,103.360
5,103.600
6,102.320
7,102.320
8,101.800
9,102.600
10,101.800
11,102.640
12,103.200
13,103.080
14,102.600
15,102.800
16,103.120
17,104.040
18,102.760
19,103.800
20,103.440
21,104.200
22,104.440
23,104.200
24,103.240
25,103.960
26,104.320
27,104.760
28,103.960
29,104.600
30,104.840
31,104.960
32,103.760
33,104.920
34,105.160
35,104.520
36,104.280
37,105.080
38,105.520
39,104.480
40,105.080
41,105.200
42,104.200
43,103.880
44,104.880
45,104.480
46,105.240
47,105.640
48,106.000
49,105.360
50,104.800
51,104.080
52,104.640
53,105.120
54,105.000
55,106.360
56,104.960
57,104.880
58,105.080
59,104.480
60,105.960
61,106.840
62,104.640
63,104.440
64,104.880
65,105.760
66,106.360
67,106.680
68,105.320
69,104.840
70,106.400
71,104.840
72,104.440
73,105.320
74,105.320
75,104.160
76,104.000
77,105.200
78,106.160
79,105.080
80,104.400
81,106.240
82,106.840
83,105.520
84,104.520
85,105.240
86,106.080
87,104.480
88,105.360
89,105.040
90,104.520
91,104.480
92,104.880
93,104.440
94,104.480
95,104.480
96,104.720
97,105.160
