 ,Mean
1,108.880
2,106.920
3,106.280
4,108.360
5,109.960
6,104.440
7,105.280
8,107.200
9,104.400
10,106.000
11,105.520
12,102.880
13,104.560
14,105.400
15,104.520
16,105.680
17,104.480
18,105.800
19,104.560
20,102.480
21,104.360
22,105.400
23,103.560
24,102.920
25,103.360
26,103.200
27,102.800
28,102.880
29,103.160
30,102.960
31,104.120
32,103.760
33,102.840
34,103.040
35,103.280
36,102.800
37,103.000
38,103.720
39,103.240
40,103.480
41,104.240
42,105.320
43,103.480
44,103.520
45,103.240
46,102.880
47,103.560
48,103.840
49,102.960
50,102.760
51,103.040
52,102.560
53,103.200
54,102.840
55,103.640
56,103.880
57,103.480
58,103.520
59,103.920
60,103.240
61,103.680
62,103.760
63,102.880
64,103.280
65,103.200
66,103.640
67,103.480
68,102.800
69,103.960
70,103.560
71,103.200
72,103.800
73,103.920
74,103.520
75,103.320
76,102.760
77,103.280
78,104.240
79,103.600
80,103.760
81,103.400
82,103.440
83,104.320
84,103.880
85,104.080
86,104.720
87,102.960
88,104.240
89,102.880
90,103.760
91,103.840
92,103.720
93,103.800
94,103.400
95,103.800
96,103.000
97,104.120
