 ,Mean
1,100.280
2,100.440
3,100.040
4,100.160
5,100.080
6,100.000
7,100.080
8,100.480
9,99.960
10,100.440
11,100.520
12,100.080
13,99.960
14,100.120
15,100.520
16,99.960
17,100.440
18,100.000
19,99.920
20,100.400
21,99.920
22,99.560
23,100.440
24,100.160
25,100.600
26,99.600
27,99.960
28,99.720
29,100.320
30,100.040
31,100.440
32,100.120
33,100.240
34,100.720
35,99.760
36,100.320
37,99.920
38,99.640
39,100.200
40,100.240
41,99.480
42,100.520
43,100.280
44,99.760
45,100.000
46,100.240
47,100.440
48,100.480
49,100.480
50,100.440
51,100.240
52,100.240
53,100.640
54,100.600
55,99.760
56,100.200
57,100.360
58,100.680
59,100.400
60,100.720
61,100.280
62,100.800
63,100.320
64,100.560
65,100.160
66,100.800
67,100.440
68,100.320
69,100.280
70,100.240
71,100.920
72,100.200
73,100.840
74,100.840
75,100.600
76,100.240
77,100.360
78,100.760
79,99.880
80,99.840
81,100.760
82,100.560
83,100.800
84,100.720
85,100.240
86,100.080
87,100.200
88,100.680
89,100.520
90,100.600
91,99.960
92,100.680
93,100.520
94,100.760
95,100.480
96,100.520
97,100.120
