 ,Mean
1,100.360
2,100.960
3,100.200
4,100.360
5,100.160
6,100.520
7,99.880
8,100.360
9,100.440
10,99.960
11,100.400
12,100.120
13,99.920
14,100.240
15,100.200
16,100.600
17,99.960
18,101.040
19,101.000
20,99.320
21,100.280
22,100.280
23,100.000
24,99.720
25,99.800
26,100.480
27,100.080
28,100.280
29,100.280
30,100.320
31,100.280
32,100.160
33,100.600
34,100.480
35,100.640
36,100.400
37,100.480
38,100.200
39,100.760
40,100.360
41,100.800
42,100.560
43,100.640
44,100.240
45,99.920
46,100.920
47,100.360
48,100.160
49,100.160
50,100.920
51,99.800
52,99.760
53,100.560
54,100.640
55,99.800
56,99.840
57,100.800
58,100.600
59,100.480
60,100.560
61,100.640
62,100.520
63,100.360
64,100.600
65,100.040
66,99.880
67,100.200
68,100.360
69,99.880
70,100.040
71,100.480
72,100.120
73,100.200
74,100.160
75,101.080
76,99.840
77,100.160
78,100.440
79,100.280
80,100.480
81,100.040
82,100.040
83,100.120
84,99.720
85,99.840
86,99.800
87,100.120
88,100.520
89,100.160
90,100.640
91,100.040
92,100.160
93,100.680
94,100.320
95,100.320
96,100.200
97,100.320
