 ,Mean
1,104.520
2,103.840
3,104.040
4,104.240
5,104.320
6,104.000
7,104.360
8,103.840
9,104.920
10,104.320
11,102.400
12,103.080
13,105.440
14,102.760
15,102.760
16,102.640
17,102.840
18,101.920
19,104.840
20,102.600
21,103.120
22,104.360
23,104.000
24,105.320
25,103.080
26,104.120
27,103.280
28,102.440
29,102.480
30,102.640
31,103.120
32,102.720
33,102.080
34,101.920
35,105.120
36,102.160
37,102.760
38,102.600
39,103.200
40,104.000
41,103.680
42,103.280
43,103.480
44,103.840
45,104.320
46,105.640
47,104.160
48,104.680
49,104.680
50,103.360
51,102.960
52,102.320
53,103.360
54,103.480
55,103.080
56,105.160
57,103.760
58,103.000
59,103.160
60,103.080
61,102.440
62,103.640
63,102.800
64,103.560
65,104.160
66,103.960
67,103.960
68,104.440
69,103.400
70,104.400
71,103.480
72,104.600
73,104.760
74,104.000
75,103.040
76,103.480
77,104.480
78,104.680
79,103.480
80,104.360
81,103.840
82,103.920
83,103.960
84,103.480
85,103.920
86,104.160
87,103.200
88,103.840
89,103.760
90,103.360
91,104.280
92,103.520
93,104.440
94,104.720
95,104.480
96,103.800
97,103.240
