 ,Mean
1,104.960
2,104.760
3,103.600
4,104.160
5,103.120
6,103.720
7,104.280
8,104.000
9,104.360
10,102.800
11,103.720
12,103.320
13,104.040
14,103.880
15,105.040
16,103.880
17,103.320
18,104.160
19,103.440
20,103.240
21,102.720
22,102.760
23,104.160
24,103.440
25,103.160
26,103.640
27,103.040
28,102.640
29,103.280
30,103.080
31,103.360
32,103.040
33,103.280
34,105.560
35,104.120
36,103.040
37,104.200
38,103.720
39,104.240
40,104.000
41,104.040
42,103.600
43,103.800
44,103.200
45,102.640
46,103.120
47,102.440
48,103.240
49,103.280
50,103.400
51,103.240
52,104.480
53,103.200
54,103.160
55,103.680
56,103.120
57,103.640
58,102.960
59,103.280
60,103.200
61,103.520
62,103.560
63,103.280
64,103.760
65,102.960
66,103.280
67,103.840
68,103.360
69,104.040
70,103.360
71,103.440
72,103.640
73,103.520
74,103.360
75,104.120
76,103.360
77,103.680
78,104.040
79,103.800
80,102.600
81,103.360
82,103.640
83,103.680
84,103.880
85,103.640
86,103.040
87,103.280
88,103.640
89,103.800
90,103.560
91,102.760
92,103.040
93,104.200
94,103.200
95,103.880
96,103.880
97,103.240
