 ,Mean
1,100.040
2,100.240
3,99.800
4,99.920
5,100.160
6,100.480
7,99.760
8,100.120
9,100.480
10,100.360
11,100.320
12,100.120
13,100.080
14,100.400
15,100.320
16,100.480
17,100.120
18,100.560
19,100.360
20,100.520
21,100.280
22,100.320
23,100.400
24,100.120
25,100.200
26,100.480
27,100.080
28,100.560
29,100.000
30,100.520
31,100.160
32,99.960
33,100.320
34,100.160
35,100.640
36,100.240
37,100.280
38,100.080
39,100.560
40,100.400
41,100.280
42,100.160
43,100.560
44,99.880
45,100.320
46,100.400
47,100.680
48,100.240
49,100.320
50,99.760
51,100.440
52,100.360
53,100.120
54,100.320
55,100.680
56,100.200
57,100.040
58,99.840
59,100.680
60,100.600
61,100.160
62,100.560
63,99.840
64,100.280
65,100.160
66,100.400
67,100.200
68,100.400
69,100.080
70,100.480
71,100.520
72,100.640
73,100.440
74,100.400
75,100.240
76,100.480
77,100.360
78,100.280
79,99.960
80,100.480
81,99.880
82,100.840
83,100.520
84,100.760
85,100.440
86,100.760
87,100.520
88,100.680
89,100.600
90,100.200
91,100.760
92,100.120
93,100.960
94,100.600
95,100.120
96,100.920
97,100.520
