 ,Mean
1,102.880
2,102.560
3,102.000
4,102.040
5,101.720
6,102.560
7,102.240
8,102.320
9,102.680
10,102.280
11,102.880
12,102.080
13,102.200
14,102.240
15,102.000
16,103.080
17,102.680
18,102.840
19,102.800
20,101.640
21,102.920
22,102.520
23,102.120
24,102.440
25,101.560
26,102.280
27,101.920
28,101.280
29,102.120
30,102.000
31,101.840
32,102.400
33,101.800
34,101.760
35,101.840
36,102.120
37,101.400
38,102.360
39,102.320
40,102.080
41,101.600
42,102.680
43,101.640
44,102.120
45,103.080
46,102.280
47,102.480
48,102.160
49,102.880
50,103.000
51,102.280
52,102.440
53,102.480
54,102.680
55,102.880
56,103.120
57,102.640
58,102.760
59,103.040
60,102.960
61,103.320
62,102.960
63,103.640
64,103.080
65,103.440
66,103.240
67,104.040
68,103.960
69,103.200
70,102.960
71,102.920
72,103.240
73,104.000
74,102.800
75,103.560
76,104.680
77,104.440
78,104.600
79,104.680
80,103.960
81,103.920
82,104.280
83,103.960
84,104.000
85,103.960
86,103.800
87,104.560
88,103.880
89,104.440
90,103.920
91,104.280
92,103.240
93,104.240
94,104.400
95,104.040
96,104.000
97,104.440
