 ,Mean
1,102.960
2,102.760
3,103.440
4,102.320
5,104.640
6,102.880
7,102.600
8,104.520
9,105.640
10,106.760
11,103.040
12,106.960
13,106.000
14,106.560
15,108.000
16,103.760
17,105.680
18,106.280
19,103.120
20,104.840
21,106.560
22,105.120
23,104.960
24,109.280
25,104.960
26,106.000
27,104.560
28,104.680
29,103.920
30,103.880
31,106.520
32,107.400
33,103.160
34,107.920
35,108.960
36,108.840
37,104.040
38,105.640
39,104.920
40,107.360
41,103.960
42,106.200
43,109.560
44,106.040
45,105.320
46,104.720
47,104.760
48,104.440
49,105.280
50,106.840
51,108.800
52,106.400
53,105.360
54,105.480
55,106.760
56,105.280
57,107.400
58,107.200
59,108.080
60,107.360
61,106.720
62,106.840
63,106.400
64,106.240
65,106.280
66,105.960
67,106.880
68,106.160
69,107.320
70,107.160
71,107.640
72,108.280
73,108.600
74,107.840
75,106.080
76,106.280
77,108.520
78,106.160
79,107.680
80,106.440
81,108.000
82,107.320
83,108.640
84,108.960
85,109.040
86,106.480
87,106.720
88,108.040
89,106.800
90,108.600
91,107.960
92,109.040
93,111.440
94,107.640
95,108.760
96,107.440
97,107.200
