 ,Mean
1,106.840
2,106.360
3,107.080
4,105.520
5,105.760
6,106.000
7,105.640
8,105.680
9,105.640
10,106.240
11,107.240
12,106.160
13,106.960
14,104.920
15,106.800
16,104.760
17,105.840
18,108.800
19,108.120
20,108.360
21,107.680
22,108.160
23,107.920
24,107.600
25,108.120
26,106.240
27,107.400
28,106.760
29,106.800
30,106.680
31,108.000
32,107.040
33,106.960
34,106.720
35,107.640
36,106.760
37,106.120
38,107.440
39,106.920
40,105.680
41,107.040
42,107.680
43,107.000
44,107.320
45,107.320
46,106.480
47,107.200
48,107.920
49,107.320
50,107.440
51,107.520
52,106.960
53,105.280
54,107.880
55,106.640
56,105.840
57,106.760
58,107.920
59,106.480
60,106.840
61,107.680
62,108.800
63,107.280
64,108.040
65,107.160
66,105.680
67,107.160
68,108.120
69,107.400
70,106.160
71,107.400
72,105.840
73,106.680
74,105.680
75,107.040
76,106.880
77,107.920
78,108.160
79,107.120
80,105.880
81,107.160
82,107.280
83,106.920
84,106.280
85,106.480
86,106.240
87,106.640
88,107.360
89,105.880
90,105.360
91,105.080
92,105.240
93,105.960
94,105.840
95,105.960
96,106.600
97,107.240
