 ,Mean
1,101.892
2,101.664
3,101.458
4,101.454
5,101.402
6,101.429
7,101.384
8,101.350
9,101.378
10,101.521
11,101.592
12,101.813
13,101.814
14,101.827
15,101.853
16,101.892
17,101.972
18,101.819
19,101.953
20,101.856
21,101.845
22,101.936
23,101.993
24,101.937
25,101.940
26,101.883
27,102.313
28,101.936
29,102.202
30,102.210
31,102.334
32,102.522
33,102.466
34,102.683
35,102.880
36,102.882
37,103.261
38,103.248
39,103.102
40,103.280
41,103.462
42,103.490
43,103.292
44,103.397
45,103.447
46,103.441
47,103.374
48,103.458
49,103.456
50,103.389
51,103.638
52,103.636
53,103.574
54,104.138
55,103.913
56,104.084
57,103.735
58,103.759
59,104.024
60,105.102
61,105.443
62,105.780
63,106.379
64,106.591
65,106.641
66,107.037
67,106.912
68,106.817
69,107.055
70,107.791
71,107.303
72,107.896
73,108.110
74,108.873
75,109.502
76,109.710
77,109.391
78,110.059
79,110.393
80,110.234
81,110.510
82,110.349
83,109.722
84,109.416
85,109.009
86,109.988
87,109.625
88,110.066
89,110.500
90,110.280
91,109.529
92,109.722
93,108.994
94,108.875
95,109.254
96,109.516
97,110.032
