 ,Mean
1,104.320
2,103.600
3,101.920
4,102.520
5,102.280
6,102.120
7,103.400
8,101.960
9,102.040
10,102.120
11,102.480
12,102.480
13,103.560
14,102.480
15,103.360
16,101.680
17,102.160
18,103.080
19,102.840
20,102.720
21,101.560
22,101.960
23,102.640
24,101.520
25,103.440
26,102.520
27,104.680
28,101.680
29,104.280
30,103.160
31,103.320
32,103.880
33,102.800
34,103.360
35,103.400
36,103.280
37,104.240
38,106.120
39,105.520
40,105.240
41,104.800
42,103.600
43,103.920
44,104.720
45,104.800
46,103.920
47,104.880
48,103.680
49,104.440
50,104.240
51,103.600
52,104.560
53,105.080
54,103.360
55,104.000
56,103.960
57,103.440
58,104.760
59,103.560
60,104.560
61,105.080
62,104.240
63,104.400
64,104.360
65,105.360
66,103.240
67,103.880
68,103.520
69,104.000
70,103.240
71,103.840
72,104.440
73,103.800
74,106.200
75,104.760
76,107.000
77,104.680
78,104.680
79,103.960
80,105.320
81,104.680
82,104.160
83,103.800
84,105.040
85,103.040
86,103.760
87,104.720
88,104.480
89,104.600
90,104.360
91,104.080
92,106.080
93,104.160
94,103.920
95,104.880
96,104.680
97,104.800
