 ,Mean
1,100.680
2,100.920
3,100.360
4,100.720
5,100.680
6,101.000
7,100.560
8,100.680
9,100.200
10,100.320
11,100.040
12,100.880
13,100.600
14,100.600
15,100.480
16,100.960
17,100.080
18,100.960
19,100.600
20,100.800
21,100.520
22,100.720
23,100.240
24,99.840
25,100.080
26,100.840
27,100.280
28,100.480
29,100.760
30,100.600
31,100.960
32,101.800
33,99.920
34,101.000
35,100.640
36,100.000
37,100.560
38,100.200
39,100.480
40,100.200
41,100.760
42,99.960
43,99.960
44,100.720
45,100.680
46,100.400
47,100.120
48,100.520
49,100.400
50,100.400
51,100.760
52,100.440
53,100.520
54,100.320
55,100.240
56,100.160
57,99.960
58,100.480
59,100.480
60,100.680
61,100.320
62,101.200
63,100.520
64,100.440
65,100.360
66,100.600
67,100.520
68,99.960
69,100.960
70,100.400
71,100.560
72,100.320
73,100.800
74,100.200
75,100.520
76,100.640
77,100.320
78,101.040
79,100.480
80,101.120
81,100.400
82,100.440
83,100.520
84,100.480
85,100.320
86,100.520
87,101.200
88,100.560
89,100.440
90,100.760
91,100.200
92,100.520
93,100.160
94,100.960
95,100.320
96,101.160
97,100.440
