 ,Mean
1,101.160
2,100.920
3,100.440
4,100.440
5,100.200
6,100.320
7,100.800
8,100.560
9,100.560
10,100.120
11,101.000
12,100.600
13,100.800
14,100.760
15,100.280
16,100.800
17,100.440
18,99.880
19,100.440
20,100.160
21,100.600
22,100.800
23,100.360
24,100.720
25,100.640
26,100.520
27,100.720
28,100.720
29,100.640
30,100.280
31,100.240
32,100.960
33,101.240
34,100.000
35,100.400
36,100.320
37,100.400
38,100.200
39,100.520
40,100.600
41,101.080
42,100.760
43,101.040
44,100.640
45,100.760
46,100.720
47,99.840
48,100.960
49,100.680
50,100.560
51,100.720
52,100.760
53,100.640
54,100.800
55,100.440
56,100.680
57,101.000
58,100.360
59,100.880
60,100.800
61,100.120
62,100.600
63,100.960
64,100.560
65,100.800
66,100.400
67,100.760
68,100.040
69,101.000
70,100.280
71,100.320
72,100.600
73,100.480
74,100.800
75,100.760
76,100.840
77,100.600
78,101.280
79,100.600
80,101.200
81,100.920
82,100.400
83,100.520
84,100.920
85,100.880
86,100.280
87,100.720
88,100.600
89,100.800
90,100.640
91,101.400
92,100.560
93,100.960
94,100.760
95,100.800
96,100.280
97,100.720
