 ,Mean
1,107.167
2,107.912
3,108.375
4,108.288
5,109.066
6,109.480
7,109.242
8,110.271
9,109.573
10,109.826
11,109.835
12,110.020
13,110.606
14,111.105
15,111.067
16,111.005
17,111.023
18,110.841
19,110.699
20,110.713
21,111.123
22,109.979
23,109.922
24,110.832
25,110.760
26,110.898
27,109.993
28,110.300
29,110.496
30,109.954
31,110.885
32,111.030
33,111.252
34,111.357
35,111.562
36,110.931
37,110.678
38,110.187
39,110.705
40,110.373
41,111.480
42,110.388
43,110.244
44,110.487
45,110.700
46,110.620
47,111.997
48,110.748
49,110.663
50,111.110
51,110.486
52,111.191
53,109.905
54,109.743
55,110.733
56,111.002
57,111.542
58,110.196
59,109.974
60,110.464
61,109.257
62,109.350
63,109.951
64,109.151
65,109.340
66,110.390
67,110.367
68,109.599
69,109.328
70,109.354
71,109.655
72,109.223
73,109.051
74,110.049
75,109.096
76,108.393
77,108.909
78,109.423
79,109.360
80,109.403
81,109.853
82,111.125
83,112.012
84,112.202
85,112.574
86,112.466
87,113.360
88,113.650
89,112.144
90,113.474
91,113.499
92,113.037
93,111.992
94,112.882
95,113.306
96,113.497
97,113.152
