 ,Mean
1,105.120
2,103.560
3,103.520
4,104.000
5,103.680
6,103.400
7,104.520
8,104.080
9,103.880
10,103.760
11,104.360
12,103.240
13,104.040
14,104.120
15,104.400
16,104.200
17,104.680
18,104.320
19,104.160
20,103.920
21,104.320
22,105.840
23,105.640
24,104.360
25,106.640
26,103.440
27,102.120
28,101.560
29,103.160
30,102.760
31,102.960
32,103.480
33,103.640
34,103.480
35,102.640
36,102.840
37,103.880
38,103.840
39,104.040
40,104.240
41,103.200
42,103.160
43,103.320
44,105.440
45,103.760
46,105.040
47,104.000
48,102.720
49,103.960
50,102.800
51,103.520
52,102.960
53,105.360
54,103.480
55,103.640
56,104.360
57,103.840
58,104.520
59,103.920
60,103.520
61,103.240
62,104.360
63,103.600
64,102.960
65,103.520
66,103.320
67,103.920
68,103.800
69,103.680
70,104.240
71,103.560
72,104.800
73,103.200
74,104.680
75,103.680
76,105.400
77,104.960
78,104.320
79,104.720
80,104.800
81,104.760
82,104.760
83,105.600
84,104.280
85,105.800
86,104.240
87,105.280
88,105.120
89,105.640
90,104.600
91,105.200
92,105.440
93,105.560
94,105.200
95,105.000
96,104.840
97,104.120
