 ,Mean
1,102.280
2,101.400
3,102.600
4,101.320
5,101.160
6,100.440
7,100.880
8,101.360
9,102.000
10,101.200
11,102.040
12,101.440
13,101.680
14,101.360
15,101.880
16,102.240
17,101.200
18,101.800
19,101.000
20,101.360
21,101.960
22,101.400
23,102.400
24,101.200
25,102.080
26,102.280
27,101.440
28,101.680
29,101.600
30,102.400
31,101.880
32,101.560
33,101.840
34,101.600
35,103.240
36,102.240
37,101.480
38,102.240
39,101.960
40,102.080
41,101.720
42,102.280
43,102.560
44,103.680
45,103.480
46,103.880
47,103.080
48,103.160
49,103.360
50,103.640
51,103.560
52,103.080
53,104.560
54,105.200
55,104.840
56,104.480
57,103.120
58,103.680
59,104.440
60,102.760
61,103.200
62,103.640
63,104.120
64,103.720
65,102.240
66,103.440
67,102.800
68,103.720
69,103.360
70,102.880
71,102.720
72,104.640
73,103.320
74,103.760
75,103.400
76,104.120
77,103.240
78,104.600
79,104.080
80,104.000
81,104.080
82,105.240
83,104.440
84,105.360
85,106.240
86,105.320
87,105.120
88,104.880
89,105.000
90,104.520
91,104.080
92,105.520
93,104.400
94,105.040
95,103.600
96,105.360
97,103.960
