 ,Mean
1,102.838
2,102.411
3,102.283
4,102.050
5,101.957
6,102.033
7,101.889
8,101.992
9,101.736
10,101.797
11,101.808
12,101.922
13,102.029
14,102.163
15,102.251
16,102.282
17,102.298
18,102.285
19,102.413
20,102.379
21,102.536
22,102.585
23,102.516
24,102.628
25,102.634
26,102.701
27,102.779
28,102.781
29,103.016
30,103.179
31,103.252
32,103.343
33,103.690
34,103.702
35,104.019
36,104.121
37,104.466
38,104.419
39,104.584
40,105.247
41,105.670
42,106.080
43,106.244
44,106.556
45,106.698
46,106.907
47,106.874
48,107.244
49,107.656
50,107.606
51,107.650
52,107.696
53,107.914
54,108.082
55,108.574
56,108.848
57,108.917
58,108.994
59,109.436
60,109.771
61,109.319
62,109.722
63,110.468
64,110.659
65,110.108
66,110.194
67,111.277
68,111.139
69,111.238
70,111.322
71,111.916
72,112.917
73,112.620
74,112.894
75,113.399
76,112.964
77,113.470
78,113.183
79,113.120
80,113.672
81,114.095
82,114.732
83,114.192
84,114.673
85,114.431
86,114.330
87,113.801
88,113.808
89,113.584
90,113.842
91,113.669
92,114.112
93,113.462
94,113.366
95,112.967
96,112.594
97,112.269
