 ,Mean
1,102.920
2,103.000
3,103.200
4,102.160
5,102.400
6,102.120
7,102.680
8,102.320
9,101.880
10,102.720
11,102.240
12,102.120
13,102.120
14,102.320
15,101.640
16,103.560
17,102.280
18,103.240
19,103.080
20,102.520
21,102.000
22,103.760
23,102.440
24,103.040
25,102.040
26,103.400
27,104.280
28,104.040
29,104.360
30,104.880
31,102.000
32,103.880
33,103.160
34,104.400
35,104.360
36,103.280
37,103.720
38,103.800
39,103.760
40,104.480
41,103.560
42,104.520
43,104.200
44,104.000
45,103.000
46,103.440
47,104.000
48,103.520
49,104.200
50,104.640
51,103.760
52,103.720
53,104.760
54,104.840
55,103.720
56,103.920
57,103.080
58,103.720
59,103.640
60,103.680
61,104.880
62,104.280
63,104.400
64,103.640
65,103.400
66,104.040
67,103.840
68,103.480
69,104.640
70,105.000
71,104.720
72,104.320
73,104.560
74,104.000
75,104.320
76,105.800
77,105.560
78,103.600
79,105.080
80,104.480
81,105.120
82,104.840
83,104.240
84,105.040
85,104.520
86,103.880
87,105.200
88,104.400
89,104.480
90,104.520
91,104.600
92,104.600
93,104.640
94,105.240
95,104.920
96,105.120
97,105.080
