 ,Mean
1,106.680
2,105.560
3,106.120
4,104.160
5,104.200
6,104.000
7,103.760
8,104.200
9,104.320
10,105.040
11,103.760
12,103.400
13,103.960
14,104.440
15,104.240
16,104.320
17,104.840
18,103.480
19,103.000
20,105.360
21,104.800
22,105.400
23,105.240
24,106.120
25,104.680
26,104.320
27,105.240
28,104.440
29,105.280
30,104.920
31,106.760
32,105.320
33,106.800
34,105.360
35,105.240
36,106.600
37,105.760
38,104.680
39,103.920
40,104.920
41,104.600
42,103.760
43,103.280
44,102.400
45,104.000
46,103.360
47,102.840
48,103.520
49,104.000
50,103.960
51,102.880
52,103.280
53,103.400
54,103.960
55,103.040
56,103.560
57,103.880
58,103.880
59,104.440
60,103.440
61,104.280
62,104.560
63,104.400
64,104.880
65,104.600
66,105.120
67,104.720
68,104.160
69,106.080
70,104.640
71,104.840
72,104.040
73,105.000
74,105.760
75,106.720
76,105.720
77,104.880
78,104.880
79,105.000
80,105.240
81,104.600
82,104.840
83,105.200
84,104.720
85,104.040
86,105.720
87,105.120
88,104.600
89,104.160
90,104.320
91,105.400
92,104.720
93,104.960
94,104.720
95,104.640
96,105.200
97,104.000
