 ,Mean
1,103.309
2,103.133
3,102.992
4,102.855
5,102.707
6,102.686
7,102.609
8,102.746
9,102.815
10,102.813
11,102.818
12,102.663
13,102.840
14,102.784
15,102.900
16,103.114
17,103.089
18,103.281
19,103.281
20,103.559
21,103.565
22,103.658
23,104.102
24,104.337
25,104.533
26,104.163
27,104.452
28,104.823
29,104.958
30,105.420
31,105.310
32,105.904
33,106.281
34,106.148
35,106.332
36,106.746
37,107.538
38,107.686
39,107.220
40,107.245
41,107.345
42,107.637
43,107.695
44,108.462
45,108.442
46,108.641
47,108.566
48,108.810
49,109.240
50,109.583
51,109.432
52,109.408
53,109.471
54,110.269
55,110.076
56,110.040
57,110.113
58,110.638
59,111.659
60,111.515
61,111.502
62,111.175
63,110.922
64,111.523
65,111.650
66,111.661
67,111.760
68,112.170
69,112.375
70,112.041
71,112.006
72,112.696
73,112.015
74,111.888
75,112.744
76,112.368
77,112.026
78,112.802
79,112.112
80,112.334
81,113.650
82,113.557
83,113.218
84,113.110
85,114.365
86,114.685
87,113.925
88,113.662
89,112.641
90,112.694
91,112.450
92,112.532
93,112.695
94,112.281
95,111.734
96,111.782
97,111.504
