 ,Mean
1,105.330
2,104.849
3,104.271
4,104.313
5,105.257
6,105.894
7,105.719
8,106.192
9,105.724
10,105.883
11,105.983
12,105.455
13,106.171
14,106.224
15,106.016
16,106.030
17,105.671
18,106.189
19,106.602
20,105.298
21,105.934
22,105.612
23,105.635
24,105.387
25,105.519
26,105.748
27,106.166
28,105.402
29,104.996
30,105.510
31,104.567
32,104.291
33,104.378
34,104.521
35,104.557
36,104.969
37,105.283
38,105.374
39,104.893
40,105.642
41,105.156
42,104.952
43,105.441
44,105.232
45,105.632
46,105.367
47,105.886
48,106.011
49,106.280
50,105.704
51,105.384
52,105.669
53,106.372
54,105.936
55,106.081
56,105.713
57,106.210
58,106.083
59,105.975
60,106.187
61,106.292
62,106.271
63,106.478
64,106.476
65,106.123
66,105.957
67,106.524
68,106.541
69,106.796
70,107.812
71,108.334
72,108.126
73,107.651
74,107.995
75,107.893
76,107.808
77,107.196
78,107.709
79,107.347
80,107.677
81,107.430
82,107.108
83,108.007
84,107.639
85,108.000
86,108.289
87,107.767
88,108.244
89,108.094
90,107.759
91,107.652
92,107.954
93,107.925
94,108.063
95,107.724
96,108.454
97,108.008
