 ,Mean
1,104.031
2,103.507
3,103.577
4,103.162
5,103.350
6,103.154
7,103.320
8,103.585
9,103.450
10,103.122
11,103.179
12,103.453
13,103.337
14,103.693
15,103.481
16,103.885
17,103.641
18,103.610
19,103.708
20,104.015
21,104.006
22,104.375
23,104.086
24,104.296
25,104.557
26,105.771
27,105.278
28,105.813
29,105.886
30,106.167
31,106.781
32,107.360
33,107.501
34,108.218
35,108.727
36,108.414
37,109.104
38,108.851
39,109.012
40,110.090
41,109.366
42,109.880
43,110.126
44,111.140
45,111.385
46,110.855
47,111.196
48,111.207
49,111.656
50,111.473
51,111.921
52,112.127
53,111.984
54,111.816
55,111.575
56,111.316
57,111.671
58,112.584
59,112.840
60,113.146
61,112.811
62,113.214
63,113.883
64,113.449
65,114.334
66,114.145
67,114.250
68,114.787
69,114.943
70,114.703
71,114.405
72,114.437
73,114.274
74,113.976
75,115.061
76,114.800
77,115.525
78,115.931
79,116.531
80,115.627
81,115.770
82,115.795
83,115.544
84,116.082
85,116.180
86,116.836
87,117.132
88,116.939
89,117.590
90,118.741
91,118.421
92,118.893
93,119.928
94,119.114
95,119.020
96,118.780
97,117.618
