 ,Mean
1,100.320
2,100.040
3,99.840
4,100.080
5,100.440
6,99.760
7,100.080
8,100.080
9,100.080
10,99.760
11,99.600
12,100.640
13,100.880
14,99.640
15,99.760
16,101.160
17,100.320
18,100.080
19,99.960
20,100.080
21,100.680
22,100.040
23,99.720
24,100.480
25,99.920
26,100.240
27,100.880
28,100.560
29,100.240
30,99.720
31,100.800
32,100.720
33,99.920
34,100.520
35,100.560
36,100.200
37,99.640
38,100.520
39,100.000
40,99.920
41,100.000
42,100.000
43,100.160
44,100.880
45,100.280
46,100.120
47,99.840
48,100.160
49,100.800
50,100.320
51,100.080
52,100.240
53,100.000
54,100.680
55,100.200
56,99.480
57,99.960
58,100.560
59,100.520
60,100.400
61,100.400
62,100.400
63,99.640
64,100.240
65,100.400
66,100.400
67,100.120
68,100.600
69,100.200
70,100.080
71,100.040
72,99.400
73,100.360
74,100.360
75,100.080
76,100.640
77,100.680
78,99.840
79,100.440
80,100.640
81,100.240
82,100.360
83,99.840
84,100.160
85,100.040
86,99.880
87,100.040
88,100.160
89,100.160
90,99.600
91,100.320
92,100.920
93,100.080
94,100.400
95,100.680
96,100.440
97,100.320
