 ,Mean
1,105.760
2,104.240
3,103.280
4,103.560
5,103.960
6,103.280
7,103.400
8,103.160
9,103.760
10,104.240
11,103.680
12,104.360
13,105.280
14,104.800
15,105.600
16,105.760
17,107.440
18,105.200
19,105.520
20,105.880
21,104.920
22,104.000
23,105.880
24,104.440
25,103.120
26,105.200
27,104.040
28,104.280
29,103.720
30,106.000
31,105.560
32,105.520
33,106.360
34,106.040
35,104.920
36,105.880
37,106.080
38,106.040
39,105.960
40,106.200
41,106.160
42,104.640
43,105.880
44,106.040
45,106.360
46,106.320
47,103.680
48,104.760
49,107.040
50,105.480
51,106.080
52,105.360
53,105.320
54,104.720
55,104.560
56,106.680
57,105.080
58,106.040
59,105.920
60,107.320
61,104.600
62,106.480
63,105.720
64,105.240
65,104.400
66,104.960
67,104.280
68,104.560
69,104.880
70,106.640
71,105.080
72,105.440
73,105.400
74,105.080
75,105.840
76,105.520
77,104.480
78,104.480
79,104.800
80,106.400
81,104.240
82,104.160
83,104.360
84,104.760
85,104.600
86,105.800
87,103.920
88,103.400
89,103.840
90,104.320
91,104.360
92,103.360
93,105.080
94,104.560
95,104.040
96,105.120
97,105.400
