 ,Mean
1,105.974
2,106.359
3,105.954
4,106.826
5,106.394
6,106.585
7,106.205
8,106.328
9,106.878
10,106.720
11,106.515
12,106.396
13,106.565
14,106.523
15,106.687
16,107.053
17,107.245
18,106.664
19,107.179
20,106.811
21,107.018
22,107.409
23,107.293
24,106.977
25,107.098
26,107.610
27,107.006
28,106.816
29,107.558
30,107.712
31,107.637
32,107.197
33,107.279
34,107.427
35,107.700
36,107.231
37,107.732
38,107.381
39,107.506
40,107.854
41,106.996
42,107.405
43,106.987
44,107.208
45,107.579
46,107.755
47,108.020
48,107.876
49,107.487
50,107.421
51,107.113
52,107.072
53,106.935
54,107.188
55,107.345
56,108.302
57,107.279
58,107.513
59,107.413
60,106.750
61,107.342
62,106.938
63,107.043
64,106.703
65,107.018
66,107.290
67,107.377
68,107.639
69,107.684
70,108.289
71,107.686
72,107.691
73,107.214
74,107.705
75,107.840
76,107.120
77,108.208
78,107.671
79,107.584
80,107.811
81,107.731
82,108.041
83,107.323
84,107.783
85,108.036
86,108.253
87,107.887
88,108.533
89,108.312
90,109.241
91,109.020
92,108.342
93,108.496
94,107.757
95,108.857
96,109.191
97,108.778
