 ,Mean
1,100.960
2,100.440
3,100.920
4,100.280
5,100.520
6,100.520
7,100.400
8,100.000
9,100.280
10,100.680
11,100.800
12,100.080
13,100.800
14,100.520
15,100.240
16,99.680
17,100.240
18,101.000
19,100.040
20,100.200
21,100.440
22,100.200
23,101.080
24,100.200
25,100.520
26,100.680
27,100.480
28,100.480
29,100.040
30,100.680
31,100.360
32,100.400
33,100.560
34,100.480
35,100.200
36,100.120
37,100.400
38,100.640
39,100.520
40,100.320
41,101.000
42,100.720
43,100.720
44,100.960
45,100.600
46,100.680
47,100.360
48,100.120
49,100.600
50,100.280
51,100.840
52,100.920
53,101.080
54,100.440
55,100.520
56,100.080
57,100.840
58,100.360
59,100.760
60,100.200
61,100.680
62,100.360
63,100.120
64,100.640
65,100.920
66,100.000
67,100.800
68,100.880
69,100.520
70,100.440
71,100.040
72,100.680
73,100.440
74,100.600
75,100.920
76,100.040
77,100.560
78,100.480
79,101.000
80,100.480
81,101.000
82,100.480
83,100.160
84,100.560
85,100.560
86,100.680
87,100.760
88,100.240
89,100.080
90,100.440
91,100.880
92,100.560
93,100.360
94,101.120
95,100.520
96,101.000
97,99.840
