 ,Mean
1,109.857
2,109.421
3,109.517
4,108.896
5,108.955
6,108.918
7,110.151
8,109.325
9,109.624
10,111.522
11,110.285
12,111.372
13,112.134
14,110.486
15,112.020
16,111.512
17,110.675
18,111.291
19,111.040
20,110.509
21,110.251
22,110.954
23,111.122
24,110.578
25,110.343
26,110.781
27,111.046
28,111.110
29,110.355
30,111.669
31,110.727
32,110.794
33,111.259
34,110.780
35,111.500
36,111.049
37,111.153
38,111.057
39,112.757
40,112.059
41,112.434
42,111.489
43,112.246
44,111.170
45,111.668
46,112.196
47,112.141
48,112.692
49,112.744
50,113.244
51,112.481
52,112.225
53,112.925
54,112.066
55,114.325
56,113.287
57,112.691
58,112.804
59,112.922
60,113.223
61,113.914
62,112.504
63,112.700
64,113.942
65,111.934
66,113.165
67,112.838
68,113.090
69,112.408
70,112.348
71,113.226
72,112.410
73,112.593
74,113.951
75,113.186
76,113.846
77,111.822
78,113.517
79,112.475
80,112.847
81,112.824
82,113.325
83,113.749
84,114.098
85,113.767
86,114.256
87,112.399
88,114.722
89,112.820
90,114.950
91,113.909
92,113.533
93,114.800
94,114.936
95,114.792
96,114.099
97,113.818
