 ,Mean
1,108.898
2,108.893
3,108.129
4,108.110
5,108.154
6,108.325
7,108.370
8,108.027
9,108.212
10,108.067
11,108.721
12,108.161
13,108.705
14,108.115
15,108.149
16,108.323
17,108.137
18,108.146
19,107.846
20,107.994
21,108.266
22,107.315
23,108.055
24,107.306
25,107.196
26,107.496
27,107.403
28,107.830
29,107.716
30,107.223
31,107.337
32,107.284
33,107.646
34,107.627
35,107.589
36,108.128
37,107.846
38,108.121
39,108.306
40,108.308
41,108.391
42,107.721
43,107.359
44,107.577
45,107.849
46,107.548
47,108.041
48,107.883
49,107.602
50,107.377
51,108.547
52,107.931
53,108.231
54,107.464
55,107.351
56,107.889
57,107.654
58,108.439
59,108.265
60,107.350
61,107.612
62,108.278
63,107.594
64,107.766
65,107.364
66,108.414
67,107.579
68,107.203
69,107.438
70,108.004
71,108.503
72,108.285
73,108.051
74,107.934
75,108.685
76,107.532
77,107.882
78,107.927
79,108.275
80,108.733
81,108.520
82,108.215
83,108.561
84,108.376
85,108.495
86,108.509
87,108.001
88,108.383
89,108.283
90,108.476
91,108.261
92,108.784
93,108.466
94,108.533
95,108.410
96,108.550
97,108.174
