 ,Mean
1,102.291
2,101.969
3,101.822
4,101.681
5,101.765
6,101.630
7,101.598
8,101.633
9,101.655
10,101.807
11,101.791
12,101.901
13,101.862
14,102.110
15,102.142
16,102.052
17,102.108
18,102.141
19,102.385
20,102.286
21,102.491
22,102.779
23,102.814
24,103.096
25,103.061
26,103.319
27,103.445
28,103.415
29,103.518
30,103.575
31,103.493
32,103.479
33,103.800
34,103.573
35,103.508
36,103.649
37,104.085
38,103.633
39,103.651
40,104.070
41,103.780
42,103.684
43,103.516
44,104.038
45,104.168
46,104.431
47,104.319
48,104.396
49,104.259
50,104.359
51,104.865
52,104.664
53,104.626
54,104.707
55,104.421
56,104.524
57,104.677
58,104.667
59,104.743
60,104.471
61,104.525
62,104.757
63,104.666
64,105.476
65,105.605
66,105.720
67,105.757
68,106.932
69,106.797
70,106.971
71,108.208
72,108.816
73,108.734
74,109.427
75,110.008
76,109.885
77,110.408
78,110.358
79,110.297
80,111.283
81,111.210
82,111.308
83,111.297
84,111.306
85,111.913
86,112.139
87,112.075
88,111.497
89,111.166
90,111.891
91,112.009
92,111.984
93,112.450
94,111.522
95,111.035
96,111.170
97,111.575
