Cell,Threshold,Patches,Cross_Area
20210528_MKY0140_01_Cell01_GFP,yen,37,3601
20210528_MKY0140_01_Cell02_GFP,yen,20,3006
20210528_MKY0140_02_Cell01_GFP,yen,27,3333
20210528_MKY0140_02_Cell02_GFP,yen,36,3333
20210528_MKY0140_02_Cell03_GFP,yen,22,3908
20210528_MKY0140_02_Cell04_GFP,yen,30,2685
20210528_MKY0140_03_Cell01_GFP,yen,27,2648
20210528_MKY0140_03_Cell02_GFP,yen,29,3018
20210528_MKY0140_03_Cell03_GFP,yen,13,3398
20210528_MKY0140_04_Cell01_GFP,yen,33,3531
20210528_MKY0140_04_Cell02_GFP,yen,30,3079
20210528_MKY0140_04_Cell03_GFP,yen,26,3419
20210528_MKY0140_04_Cell04_GFP,yen,27,3189
20210528_MKY0140_04_Cell05_GFP,yen,36,3620
20210528_MKY0140_05_Cell01_GFP,yen,33,3215
20210528_MKY0140_05_Cell02_GFP,yen,32,3375
20210528_MKY0140_05_Cell03_GFP,yen,34,3159
20210528_MKY0140_05_Cell04_GFP,yen,44,4647
20210528_MKY0140_06_Cell01_GFP,yen,30,2543
20210528_MKY0140_06_Cell02_GFP,yen,25,3658
20210528_MKY0140_06_Cell03_GFP,yen,32,3825
20210528_MKY0140_07_Cell01_GFP,yen,35,3128
20210528_MKY0140_07_Cell02_GFP,yen,23,2458
20210528_MKY0140_07_Cell03_GFP,yen,37,2989
20210528_MKY0140_07_Cell04_GFP,yen,34,3309
20210528_MKY0140_08_Cell01_GFP,yen,31,2664
20210528_MKY0140_08_Cell02_GFP,yen,32,4029
20210528_MKY0140_08_Cell03_GFP,yen,19,3240
20210528_MKY0140_08_Cell04_GFP,yen,41,4028
20210528_MKY0140_09_Cell01_GFP,yen,24,3264
20210528_MKY0140_09_Cell02_GFP,yen,34,3379
20210528_MKY0140_09_Cell03_GFP,yen,28,2513
20210528_MKY0140_09_Cell04_GFP,yen,37,3251
20210528_MKY0140_10_Cell01_GFP,yen,39,3131
20210528_MKY0140_10_Cell02_GFP,yen,21,2502
20210528_MKY0140_10_Cell03_GFP,yen,32,3571
20210528_MKY0140_10_Cell04_GFP,yen,41,3909
20210528_MKY0140_11_Cell01_GFP,yen,31,2777
20210528_MKY0140_11_Cell02_GFP,yen,34,2910
20210528_MKY0140_11_Cell03_GFP,yen,28,3574
20210528_MKY0140_11_Cell04_GFP,yen,23,3359
20210528_MKY0140_12_Cell01_GFP,yen,20,2070
20210528_MKY0140_12_Cell02_GFP,yen,24,3369
20210528_MKY0140_12_Cell03_GFP,yen,25,3007
20210528_MKY0140_13_Cell01_GFP,yen,16,2777
20210528_MKY0140_13_Cell02_GFP,yen,27,3434
20210528_MKY0140_13_Cell03_GFP,yen,24,3682
20210528_MKY0140_14_Cell01_GFP,yen,20,2701
20210528_MKY0140_14_Cell02_GFP,yen,35,2682
20210528_MKY0140_14_Cell03_GFP,yen,22,3899
20210528_MKY0140_15_Cell01_GFP,yen,25,3028
20210528_MKY0140_15_Cell02_GFP,yen,27,4121
20210528_MKY0140_15_Cell04_GFP,yen,41,3476
20210528_MKY0140_16_Cell01_GFP,yen,27,2582
20210528_MKY0140_16_Cell02_GFP,yen,34,3685
20210528_MKY0140_16_Cell03_GFP,yen,27,3023
20210528_MKY0654_01_Cell01_GFP,yen,14,3641
20210528_MKY0654_01_Cell02_GFP,yen,4,3075
20210528_MKY0654_01_Cell03_GFP,yen,17,3613
20210528_MKY0654_01_Cell04_GFP,yen,27,4310
20210528_MKY0654_02_Cell01_GFP,yen,21,3254
20210528_MKY0654_02_Cell02_GFP,yen,17,3535
20210528_MKY0654_02_Cell03_GFP,yen,16,2500
20210528_MKY0654_02_Cell04_GFP,yen,15,2479
20210528_MKY0654_03_Cell01_GFP,yen,17,3005
20210528_MKY0654_03_Cell02_GFP,yen,23,3590
20210528_MKY0654_03_Cell03_GFP,yen,26,2568
20210528_MKY0654_04_Cell01_GFP,yen,25,2303
20210528_MKY0654_04_Cell02_GFP,yen,14,4085
20210528_MKY0654_04_Cell03_GFP,yen,18,3205
20210528_MKY0654_05_Cell01_GFP,yen,25,3959
20210528_MKY0654_05_Cell02_GFP,yen,15,4693
20210528_MKY0654_05_Cell03_GFP,yen,16,3616
20210528_MKY0654_06_Cell01_GFP,yen,17,1901
20210528_MKY0654_06_Cell02_GFP,yen,16,4373
20210528_MKY0654_06_Cell03_GFP,yen,21,3787
20210528_MKY0654_06_Cell04_GFP,yen,19,3336
20210528_MKY0654_07_Cell01_GFP,yen,18,3952
20210528_MKY0654_07_Cell02_GFP,yen,13,3699
20210528_MKY0654_07_Cell03_GFP,yen,15,3440
20210528_MKY0654_07_Cell04_GFP,yen,17,3351
20210528_MKY0654_07_Cell05_GFP,yen,17,4197
20210528_MKY0654_08_Cell01_GFP,yen,13,2798
20210528_MKY0654_08_Cell02_GFP,yen,21,3630
20210528_MKY0654_08_Cell03_GFP,yen,26,3634
20210528_MKY0654_09_Cell01_GFP,yen,11,4313
20210528_MKY0654_09_Cell02_GFP,yen,16,2364
20210528_MKY0654_09_Cell03_GFP,yen,6,2359
20210528_MKY0654_09_Cell04_GFP,yen,17,2376
20210528_MKY0654_10_Cell01_GFP,yen,18,3475
20210528_MKY0654_10_Cell02_GFP,yen,14,3236
20210528_MKY0654_10_Cell03_GFP,yen,8,3786
20210528_MKY0654_11_Cell01_GFP,yen,17,3306
20210528_MKY0654_11_Cell02_GFP,yen,33,4420
20210528_MKY0654_11_Cell03_GFP,yen,23,4245
20210528_MKY0654_12_Cell01_GFP,yen,22,3590
20210528_MKY0654_12_Cell02_GFP,yen,17,2858
20210528_MKY0654_12_Cell03_GFP,yen,15,3924
20210528_MKY0654_12_Cell04_GFP,yen,16,3325
20210528_MKY0654_13_Cell01_GFP,yen,29,3481
20210528_MKY0654_13_Cell02_GFP,yen,18,3316
20210528_MKY0654_13_Cell03_GFP,yen,7,2301
20210528_MKY0654_14_Cell01_GFP,yen,11,2848
20210528_MKY0654_14_Cell02_GFP,yen,38,4184
20210528_MKY0654_14_Cell03_GFP,yen,17,3774
20210528_MKY0654_15_Cell01_GFP,yen,14,3432
20210528_MKY0654_15_Cell02_GFP,yen,23,4341
20210528_MKY0654_15_Cell03_GFP,yen,21,4173
20210528_MKY3770_01_Cell01_GFP,yen,23,2900
20210528_MKY3770_01_Cell02_GFP,yen,18,2864
20210528_MKY3770_01_Cell03_GFP,yen,33,4089
20210528_MKY3770_01_Cell04_GFP,yen,16,2848
20210528_MKY3770_02_Cell01_GFP,yen,32,3113
20210528_MKY3770_02_Cell02_GFP,yen,30,3104
20210528_MKY3770_02_Cell03_GFP,yen,28,3415
20210528_MKY3770_02_Cell04_GFP,yen,9,2976
20210528_MKY3770_02_Cell05_GFP,yen,19,3841
20210528_MKY3770_02_Cell06_GFP,yen,17,3190
20210528_MKY3770_03_Cell01_GFP,yen,7,3973
20210528_MKY3770_03_Cell02_GFP,yen,30,3779
20210528_MKY3770_03_Cell03_GFP,yen,26,4650
20210528_MKY3770_03_Cell04_GFP,yen,35,3925
20210528_MKY3770_03_Cell05_GFP,yen,31,4661
20210528_MKY3770_04_Cell01_GFP,yen,14,2983
20210528_MKY3770_04_Cell02_GFP,yen,34,4268
20210528_MKY3770_04_Cell03_GFP,yen,14,3603
20210528_MKY3770_05_Cell01_GFP,yen,28,3909
20210528_MKY3770_05_Cell02_GFP,yen,31,4148
20210528_MKY3770_05_Cell03_GFP,yen,31,4679
20210528_MKY3770_06_Cell01_GFP,yen,18,2764
20210528_MKY3770_06_Cell02_GFP,yen,28,3291
20210528_MKY3770_06_Cell03_GFP,yen,17,2354
20210528_MKY3770_07_Cell01_GFP,yen,30,3429
20210528_MKY3770_07_Cell02_GFP,yen,28,2492
20210528_MKY3770_07_Cell03_GFP,yen,29,4510
20210528_MKY3770_07_Cell04_GFP,yen,24,3331
20210528_MKY3770_08_Cell01_GFP,yen,30,3417
20210528_MKY3770_08_Cell02_GFP,yen,25,3291
20210528_MKY3770_08_Cell03_GFP,yen,22,4039
20210528_MKY3770_08_Cell04_GFP,yen,28,4193
20210528_MKY3770_08_Cell05_GFP,yen,34,3294
20210528_MKY3770_09_Cell01_GFP,yen,28,3217
20210528_MKY3770_09_Cell02_GFP,yen,24,4533
