Cell,Threshold,Patches,Cross_Area
20210526_MKY0654_14_Cell02_GFP,yen,17,3169
20210526_MKY0654_14_Cell03_GFP,yen,14,2570
20210526_MKY0654_15_Cell01_GFP,yen,20,3535
20210526_MKY0654_15_Cell02_GFP,yen,26,3299
20210526_MKY0654_15_Cell03_GFP,yen,18,4077
20210526_MKY0654_15_Cell04_GFP,yen,5,2265
20210526_MKY3770_01_Cell01_GFP,yen,13,3280
20210526_MKY3770_01_Cell02_GFP,yen,21,4051
20210526_MKY3770_01_Cell03_GFP,yen,16,3743
20210526_MKY3770_02_Cell01_GFP,yen,11,2314
20210526_MKY3770_02_Cell02_GFP,yen,17,3180
20210526_MKY3770_03_Cell01_GFP,yen,24,4335
20210526_MKY3770_03_Cell02_GFP,yen,36,4330
20210526_MKY3770_03_Cell03_GFP,yen,31,5423
20210526_MKY3770_03_Cell04_GFP,yen,23,3590
20210526_MKY3770_04_Cell01_GFP,yen,33,3500
20210526_MKY3770_04_Cell02_GFP,yen,15,2994
20210526_MKY3770_05_Cell01_GFP,yen,22,3714
20210526_MKY3770_05_Cell02_GFP,yen,25,3956
20210526_MKY3770_05_Cell03_GFP,yen,19,3938
20210526_MKY3770_06_Cell01_GFP,yen,28,4424
20210526_MKY3770_06_Cell02_GFP,yen,25,3536
20210526_MKY3770_06_Cell03_GFP,yen,28,3855
20210526_MKY3770_07_Cell01_GFP,yen,20,3992
20210526_MKY3770_07_Cell02_GFP,yen,35,3698
20210526_MKY3770_07_Cell03_GFP,yen,32,3790
20210526_MKY3770_08_Cell01_GFP,yen,29,3932
20210526_MKY3770_08_Cell02_GFP,yen,25,3045
20210526_MKY3770_09_Cell01_GFP,yen,32,2948
20210526_MKY3770_09_Cell02_GFP,yen,36,4078
20210526_MKY3770_09_Cell03_GFP,yen,22,3635
20210526_MKY3770_09_Cell04_GFP,yen,22,3384
20210526_MKY3770_10_Cell01_GFP,yen,32,2930
20210526_MKY3770_10_Cell02_GFP,yen,26,3355
20210526_MKY3770_10_Cell03_GFP,yen,26,4220
20210526_MKY3770_10_Cell04_GFP,yen,11,4714
20210526_MKY3770_11_Cell01_GFP,yen,15,2780
20210526_MKY3770_11_Cell02_GFP,yen,37,2979
20210526_MKY3770_12_Cell01_GFP,yen,11,3569
20210526_MKY3770_12_Cell02_GFP,yen,22,3965
20210526_MKY3770_12_Cell03_GFP,yen,40,4704
20210526_MKY3770_13_Cell01_GFP,yen,20,3819
20210526_MKY3770_13_Cell02_GFP,yen,33,3655
20210526_MKY3770_14_Cell01_GFP,yen,23,3996
20210526_MKY3770_14_Cell02_GFP,yen,29,3742
20210526_MKY3770_14_Cell03_GFP,yen,12,3439
20210526_MKY3770_15_Cell01_GFP,yen,19,2533
20210526_MKY3770_15_Cell02_GFP,yen,25,3663
20210526_MKY3770_15_Cell03_GFP,yen,24,4019
20210526_MKY3770_15_Cell04_GFP,yen,26,5268
20210526_MKY3770_16_Cell01_GFP,yen,16,2479
20210526_MKY3770_16_Cell02_GFP,yen,31,3057
20210526_MKY3770_16_Cell03_GFP,yen,31,4173
20210526_MKY3770_16_Cell04_GFP,yen,38,3524
20210526_MKY3770_17_Cell01_GFP,yen,21,4136
20210526_MKY3770_17_Cell02_GFP,yen,24,3518
20210526_MKY3770_17_Cell03_GFP,yen,21,4018
20210526_MKY3770_17_Cell04_GFP,yen,35,4969
20210526_MKY3770_18_Cell01_GFP,yen,29,4624
20210526_MKY3770_18_Cell02_GFP,yen,14,2903
20210526_MKY3770_18_Cell03_GFP,yen,33,4459
20210526_MKY3770_18_Cell04_GFP,yen,28,4536
20210526_MKY3776_01_Cell01_GFP,yen,20,3135
20210526_MKY3776_01_Cell02_GFP,yen,15,2797
20210526_MKY3776_01_Cell03_GFP,yen,5,2002
20210526_MKY3776_01_Cell04_GFP,yen,16,2600
20210526_MKY3776_02_Cell01_GFP,yen,25,3169
20210526_MKY3776_02_Cell02_GFP,yen,14,3201
20210526_MKY3776_02_Cell03_GFP,yen,27,2059
20210526_MKY3776_02_Cell04_GFP,yen,10,2293
20210526_MKY3776_02_Cell05_GFP,yen,21,3970
20210526_MKY3776_03_Cell01_GFP,yen,20,2643
20210526_MKY3776_04_Cell01_GFP,yen,25,3572
20210526_MKY3776_04_Cell02_GFP,yen,24,2320
20210526_MKY3776_04_Cell03_GFP,yen,23,2250
20210526_MKY3776_05_Cell01_GFP,yen,21,3646
20210526_MKY3776_05_Cell02_GFP,yen,23,3028
20210526_MKY3776_05_Cell03_GFP,yen,23,2977
20210526_MKY3776_05_Cell04_GFP,yen,18,3597
20210526_MKY3776_06_Cell01_GFP,yen,18,2369
20210526_MKY3776_06_Cell02_GFP,yen,22,3706
20210526_MKY3776_06_Cell03_GFP,yen,23,2838
20210526_MKY3776_06_Cell04_GFP,yen,19,4885
20210526_MKY3776_07_Cell01_GFP,yen,20,2620
20210526_MKY3776_07_Cell02_GFP,yen,9,2956
20210526_MKY3776_07_Cell03_GFP,yen,15,2433
20210526_MKY3776_08_Cell01_GFP,yen,24,3218
20210526_MKY3776_08_Cell02_GFP,yen,34,3091
20210526_MKY3776_08_Cell03_GFP,yen,21,3563
20210526_MKY3776_09_Cell01_GFP,yen,29,3156
20210526_MKY3776_09_Cell02_GFP,yen,16,2930
20210526_MKY3776_09_Cell03_GFP,yen,14,3260
20210526_MKY3776_10_Cell01_GFP,yen,17,2091
20210526_MKY3776_10_Cell02_GFP,yen,21,2869
20210526_MKY3776_10_Cell03_GFP,yen,21,3281
20210526_MKY3776_10_Cell04_GFP,yen,18,3391
20210526_MKY3776_10_Cell05_GFP,yen,25,2894
20210526_MKY3776_11_Cell01_GFP,yen,19,2894
20210526_MKY3776_11_Cell02_GFP,yen,29,3227
20210526_MKY3776_11_Cell03_GFP,yen,20,2861
20210526_MKY3776_11_Cell04_GFP,yen,16,2451
20210526_MKY3776_11_Cell05_GFP,yen,19,2759
20210526_MKY3776_12_Cell01_GFP,yen,24,3274
20210526_MKY3776_12_Cell02_GFP,yen,24,4050
20210526_MKY3776_12_Cell03_GFP,yen,20,2992
20210526_MKY3776_13_Cell01_GFP,yen,30,3887
20210526_MKY3776_13_Cell02_GFP,yen,5,2225
20210526_MKY3776_13_Cell03_GFP,yen,23,2768
20210526_MKY3776_13_Cell04_GFP,yen,31,4259
20210526_MKY3776_14_Cell01_GFP,yen,31,4051
20210526_MKY3776_14_Cell02_GFP,yen,18,2305
20210526_MKY3776_14_Cell03_GFP,yen,20,2736
20210526_MKY3776_14_Cell04_GFP,yen,17,2885
20210526_MKY3776_15_Cell01_GFP,yen,26,3078
20210526_MKY3776_15_Cell02_GFP,yen,38,4324
20210526_MKY3776_15_Cell03_GFP,yen,16,2680
20210526_MKY3776_15_Cell04_GFP,yen,23,2580
20210526_MKY3776_15_Cell05_GFP,yen,30,3634
20210526_MKY3782_01_Cell01_GFP,yen,18,2864
20210526_MKY3782_01_Cell02_GFP,yen,24,3329
20210526_MKY3782_01_Cell03_GFP,yen,15,3123
20210526_MKY3782_02_Cell01_GFP,yen,18,2914
20210526_MKY3782_02_Cell02_GFP,yen,8,2573
20210526_MKY3782_02_Cell03_GFP,yen,16,3524
20210526_MKY3782_03_Cell01_GFP,yen,12,2917
20210526_MKY3782_03_Cell02_GFP,yen,16,3324
20210526_MKY3782_03_Cell03_GFP,yen,10,2304
20210526_MKY3782_04_Cell01_GFP,yen,6,1964
20210526_MKY3782_04_Cell02_GFP,yen,12,3921
20210526_MKY3782_04_Cell03_GFP,yen,27,3483
20210526_MKY3782_05_Cell01_GFP,yen,18,1992
20210526_MKY3782_05_Cell02_GFP,yen,12,2774
20210526_MKY3782_05_Cell03_GFP,yen,15,2752
20210526_MKY3782_06_Cell01_GFP,yen,9,2656
20210526_MKY3782_06_Cell02_GFP,yen,9,2250
20210526_MKY3782_06_Cell03_GFP,yen,15,2724
20210526_MKY3782_07_Cell01_GFP,yen,8,3445
20210526_MKY3782_07_Cell02_GFP,yen,17,3698
20210526_MKY3782_07_Cell03_GFP,yen,15,4128
20210526_MKY3782_07_Cell04_GFP,yen,16,3351
20210526_MKY3782_08_Cell01_GFP,yen,19,3108
20210526_MKY3782_08_Cell02_GFP,yen,19,2982
20210526_MKY3782_08_Cell03_GFP,yen,16,3320
20210526_MKY3782_08_Cell04_GFP,yen,24,3127
20210526_MKY3782_08_Cell05_GFP,yen,34,3881
20210526_MKY3782_08_Cell06_GFP,yen,6,3484
20210526_MKY3782_08_Cell07_GFP,yen,20,3231
20210526_MKY3782_09_Cell01_GFP,yen,15,3202
20210526_MKY3782_09_Cell02_GFP,yen,14,2693
20210526_MKY3782_09_Cell03_GFP,yen,11,3038
20210526_MKY3782_09_Cell04_GFP,yen,1,1660
20210526_MKY3782_10_Cell01_GFP,yen,21,2536
20210526_MKY3782_10_Cell02_GFP,yen,26,3522
20210526_MKY3782_10_Cell03_GFP,yen,14,2815
20210526_MKY3782_11_Cell01_GFP,yen,21,4306
20210526_MKY3782_11_Cell02_GFP,yen,22,3632
20210526_MKY3782_11_Cell03_GFP,yen,19,3575
20210526_MKY3782_12_Cell01_GFP,yen,5,2472
20210526_MKY3782_12_Cell02_GFP,yen,8,3267
20210526_MKY3782_12_Cell03_GFP,yen,15,3887
20210526_MKY3782_13_Cell01_GFP,yen,23,3227
20210526_MKY3782_13_Cell02_GFP,yen,15,3128
20210526_MKY3782_13_Cell03_GFP,yen,12,2744
20210526_MKY3782_14_Cell01_GFP,yen,20,3719
20210526_MKY3782_14_Cell02_GFP,yen,18,2780
20210526_MKY3782_14_Cell03_GFP,yen,16,3504
20210526_MKY3782_15_Cell01_GFP,yen,40,4544
20210526_MKY3782_15_Cell02_GFP,yen,23,3722
20210526_MKY3782_15_Cell03_GFP,yen,9,2363
20210526_MKY3782_16_Cell01_GFP,yen,13,3873
20210526_MKY3782_16_Cell02_GFP,yen,17,4225
20210526_MKY3782_16_Cell03_GFP,yen,14,2272
