cell,mean,median,sd
20210629_MKY3487_08_Cell10_GFP_BS,5.64,4,8.489
20210629_MKY3487_08_Cell11_GFP_BS,5.437,4,10.207
20210629_MKY3487_08_Cell12_GFP_BS,5.462,4,7.054
20210629_MKY3487_09_Cell01_GFP_BS,4.796,4,3.697
20210629_MKY3487_09_Cell02_GFP_BS,6.248,5,8.489
20210629_MKY3487_09_Cell03_GFP_BS,4.154,3,7.961
20210629_MKY3487_09_Cell04_GFP_BS,6.775,5,15.947
20210629_MKY3487_09_Cell05_GFP_BS,4.381,3,7.296
20210629_MKY3487_09_Cell06_GFP_BS,7.464,5,20.28
20210629_MKY3487_09_Cell07_GFP_BS,4.154,3,9.559
20210629_MKY3487_09_Cell08_GFP_BS,3.669,3,3.938
20210629_MKY3487_09_Cell09_GFP_BS,6.373,4,12.536
20210629_MKY3487_09_Cell10_GFP_BS,3.747,3,7.506
20210629_MKY3487_09_Cell11_GFP_BS,3.562,3,3.268
20210629_MKY3487_09_Cell12_GFP_BS,5.568,3,14.437
20210629_MKY3487_09_Cell13_GFP_BS,6.871,5,9.809
20210629_MKY3487_09_Cell14_GFP_BS,4.838,3,9.766
20210629_MKY3487_10_Cell01_GFP_BS,5.676,4,14.003
20210629_MKY3487_10_Cell02_GFP_BS,7.608,5,12.196
20210629_MKY3487_10_Cell03_GFP_BS,3.494,3,3.278
20210629_MKY3487_10_Cell04_GFP_BS,5.034,4,6.662
20210629_MKY3487_10_Cell05_GFP_BS,6.069,4,14.693
20210629_MKY3487_10_Cell06_GFP_BS,6.118,4,13.585
20210629_MKY3487_10_Cell07_GFP_BS,4.553,4,5.866
20210629_MKY3487_10_Cell08_GFP_BS,4.836,4,10.193
20210629_MKY3487_10_Cell09_GFP_BS,6.332,4,11.562
20210629_MKY3487_10_Cell10_GFP_BS,5.325,4,9.551
20210629_MKY3488_01_Cell01_GFP_BS,25.104,5,111.905
20210629_MKY3488_01_Cell02_GFP_BS,22.876,5,96.935
20210629_MKY3488_01_Cell03_GFP_BS,7.623,4,32.157
20210629_MKY3488_01_Cell04_GFP_BS,4.335,3,10.235
20210629_MKY3488_01_Cell05_GFP_BS,8.756,3,43.833
20210629_MKY3488_01_Cell06_GFP_BS,5.944,3,20.677
20210629_MKY3488_01_Cell07_GFP_BS,19.553,5,83.844
20210629_MKY3488_01_Cell08_GFP_BS,16.276,4,77.935
20210629_MKY3488_01_Cell09_GFP_BS,28.52,5,135.894
20210629_MKY3488_01_Cell10_GFP_BS,12.897,4,50.334
20210629_MKY3488_01_Cell11_GFP_BS,6.962,5,17.186
20210629_MKY3488_01_Cell12_GFP_BS,9.406,3,32.922
20210629_MKY3488_02_Cell01_GFP_BS,11.326,4,58.03
20210629_MKY3488_02_Cell02_GFP_BS,17.848,5,83.404
20210629_MKY3488_02_Cell03_GFP_BS,12.998,5,54.918
20210629_MKY3488_02_Cell04_GFP_BS,13.448,4,49.687
20210629_MKY3488_02_Cell05_GFP_BS,18.843,4,90.139
20210629_MKY3488_02_Cell06_GFP_BS,19.095,4,97.067
20210629_MKY3488_02_Cell07_GFP_BS,16.967,4,80.605
20210629_MKY3488_02_Cell08_GFP_BS,9.411,3,42.703
20210629_MKY3488_02_Cell09_GFP_BS,20.657,5,95.245
20210629_MKY3488_02_Cell10_GFP_BS,10.247,3,47.902
20210629_MKY3488_02_Cell11_GFP_BS,19.296,4,105.577
20210629_MKY3488_02_Cell12_GFP_BS,25.469,4,119.524
20210629_MKY3488_03_Cell01_GFP_BS,8.386,4,30.381
20210629_MKY3488_03_Cell02_GFP_BS,19.171,4,110.841
20210629_MKY3488_03_Cell03_GFP_BS,10.027,3,46.706
20210629_MKY3488_03_Cell04_GFP_BS,9.868,3,37.837
20210629_MKY3488_03_Cell05_GFP_BS,10.004,3,44.272
20210629_MKY3488_03_Cell06_GFP_BS,19.94,4,90.643
20210629_MKY3488_03_Cell07_GFP_BS,17.958,4,77.362
20210629_MKY3488_03_Cell08_GFP_BS,6.772,3,23.576
20210629_MKY3488_03_Cell09_GFP_BS,9.023,4,34.889
20210629_MKY3488_03_Cell10_GFP_BS,26.12,5,146.128
20210629_MKY3488_03_Cell11_GFP_BS,15.896,5,95.373
20210629_MKY3488_03_Cell12_GFP_BS,15.333,4,75.772
20210629_MKY3488_04_Cell01_GFP_BS,9.127,4,36.947
20210629_MKY3488_04_Cell02_GFP_BS,15.421,4,87.432
20210629_MKY3488_04_Cell03_GFP_BS,8.249,4,29.283
20210629_MKY3488_04_Cell04_GFP_BS,11.747,3,51.597
20210629_MKY3488_04_Cell05_GFP_BS,16.52,4,68.898
20210629_MKY3488_04_Cell06_GFP_BS,16.41,4,71.407
20210629_MKY3488_04_Cell07_GFP_BS,16.107,4,75.588
20210629_MKY3488_04_Cell08_GFP_BS,12.8,4,64.067
20210629_MKY3488_04_Cell09_GFP_BS,17.941,4,101.877
20210629_MKY3488_04_Cell10_GFP_BS,9.819,4,34.902
20210629_MKY3488_04_Cell11_GFP_BS,20.711,4,113.144
20210629_MKY3488_04_Cell12_GFP_BS,10.239,3,50.949
20210629_MKY3488_05_Cell01_GFP_BS,7.644,3,32.254
20210629_MKY3488_05_Cell02_GFP_BS,8.949,3,36.127
20210629_MKY3488_05_Cell03_GFP_BS,16.186,4,71.647
20210629_MKY3488_05_Cell04_GFP_BS,18.939,4,79.996
20210629_MKY3488_05_Cell05_GFP_BS,8.03,5,22.817
20210629_MKY3488_05_Cell06_GFP_BS,12.105,6,53.549
20210629_MKY3488_05_Cell07_GFP_BS,15.133,4,71.512
20210629_MKY3488_05_Cell08_GFP_BS,21.613,5,114.892
20210629_MKY3488_05_Cell09_GFP_BS,16.795,4,71.701
20210629_MKY3488_05_Cell10_GFP_BS,9.566,4,50.803
20210629_MKY3488_05_Cell11_GFP_BS,6.624,3,25.158
20210629_MKY3488_05_Cell12_GFP_BS,4.071,2,15.106
20210629_MKY3488_06_Cell01_GFP_BS,7.237,3,24.358
20210629_MKY3488_06_Cell02_GFP_BS,15.933,4,82.548
20210629_MKY3488_06_Cell03_GFP_BS,15.121,4,69.92
20210629_MKY3488_06_Cell04_GFP_BS,15.062,4,66.352
20210629_MKY3488_06_Cell05_GFP_BS,19.577,5,89.173
20210629_MKY3488_06_Cell06_GFP_BS,12.885,4,60.272
20210629_MKY3488_06_Cell07_GFP_BS,19.342,5,97.766
20210629_MKY3488_06_Cell08_GFP_BS,13.356,5,54.137
20210629_MKY3488_06_Cell09_GFP_BS,9.855,4,55.709
20210629_MKY3488_06_Cell10_GFP_BS,11.461,4,58.882
20210629_MKY3488_06_Cell11_GFP_BS,14.844,5,71.9
20210629_MKY3488_06_Cell12_GFP_BS,11.016,3,52.524
20210629_MKY3488_07_Cell01_GFP_BS,10.188,4,37.373
20210629_MKY3488_07_Cell02_GFP_BS,18.568,5,109.203
20210629_MKY3488_07_Cell03_GFP_BS,12.982,4,55.2
20210629_MKY3488_07_Cell04_GFP_BS,16.522,5,80.157
20210629_MKY3488_07_Cell05_GFP_BS,7.575,3,28.719
20210629_MKY3488_07_Cell06_GFP_BS,15.185,4,70.008
20210629_MKY3488_07_Cell07_GFP_BS,6.023,3,25.604
20210629_MKY3488_07_Cell08_GFP_BS,8.494,4,35.605
20210629_MKY3488_07_Cell09_GFP_BS,8.408,3,41.376
20210629_MKY3488_07_Cell10_GFP_BS,18.448,4,105.84
20210629_MKY3488_07_Cell11_GFP_BS,10.227,3,44.612
20210629_MKY3488_07_Cell12_GFP_BS,11.045,4,49.594
20210629_MKY3488_08_Cell01_GFP_BS,14.147,5,55.852
20210629_MKY3488_08_Cell02_GFP_BS,16.517,3,79.232
20210629_MKY3488_08_Cell03_GFP_BS,28.405,5,128.435
20210629_MKY3488_08_Cell04_GFP_BS,15.422,4,77.594
20210629_MKY3488_08_Cell05_GFP_BS,13.541,5,53.672
20210629_MKY3488_08_Cell06_GFP_BS,12.83,3,66.088
20210629_MKY3488_08_Cell07_GFP_BS,11.434,3,47.059
20210629_MKY3488_08_Cell08_GFP_BS,17.72,4,93.534
20210629_MKY3488_08_Cell09_GFP_BS,12.372,3,54.941
20210629_MKY3488_08_Cell10_GFP_BS,10.437,3,53.262
20210629_MKY3488_08_Cell11_GFP_BS,9.299,3,48.752
20210629_MKY3488_08_Cell12_GFP_BS,9.926,3,44.831
20210629_MKY3488_09_Cell01_GFP_BS,8.584,3,32.212
20210629_MKY3488_09_Cell02_GFP_BS,12.183,4,50.582
20210629_MKY3488_09_Cell03_GFP_BS,15.076,4,86.126
20210629_MKY3488_09_Cell04_GFP_BS,14.482,4,61.734
20210629_MKY3488_09_Cell05_GFP_BS,12.875,4,63.26
20210629_MKY3488_09_Cell06_GFP_BS,6.135,3,22.623
20210629_MKY3488_09_Cell07_GFP_BS,7.035,3,27.093
20210629_MKY3488_09_Cell08_GFP_BS,17.384,5,91.934
20210629_MKY3488_09_Cell09_GFP_BS,13.148,4,69.224
20210629_MKY3488_09_Cell10_GFP_BS,21.944,5,106.826
20210629_MKY3488_09_Cell11_GFP_BS,14.15,4,62.648
20210629_MKY3488_09_Cell12_GFP_BS,15.898,4,87.968
20210629_MKY3488_10_Cell01_GFP_BS,15.476,4,87.683
20210629_MKY3488_10_Cell02_GFP_BS,17.889,4,83.217
20210629_MKY3488_10_Cell03_GFP_BS,13.365,4,63.124
20210629_MKY3488_10_Cell04_GFP_BS,11.735,3,62.74
20210629_MKY3488_10_Cell05_GFP_BS,20.086,5,99.83
20210629_MKY3488_10_Cell06_GFP_BS,16.085,4,77.986
20210629_MKY3488_10_Cell07_GFP_BS,7.32,3,34.169
20210629_MKY3488_10_Cell08_GFP_BS,17.888,5,83.39
20210629_MKY3488_10_Cell09_GFP_BS,22.046,4,112.477
20210629_MKY3488_10_Cell10_GFP_BS,21.049,4,95.315
20210629_MKY3488_10_Cell11_GFP_BS,16.892,3,92.842
20210629_MKY3488_10_Cell12_GFP_BS,5.635,3,22.376
20210629_MKY4450_01_Cell01_GFP_BS,4.107,3,4.456
20210629_MKY4450_01_Cell02_GFP_BS,4.877,4,5.471
20210629_MKY4450_01_Cell03_GFP_BS,3.842,3,3.258
20210629_MKY4450_01_Cell04_GFP_BS,5.552,5,4.494
20210629_MKY4450_01_Cell05_GFP_BS,5.665,4,7.213
20210629_MKY4450_01_Cell06_GFP_BS,3.978,3,3.891
20210629_MKY4450_01_Cell07_GFP_BS,3.607,3,3.034
20210629_MKY4450_01_Cell08_GFP_BS,3.046,3,2.771
20210629_MKY4450_01_Cell09_GFP_BS,3.546,3,2.945
20210629_MKY4450_01_Cell10_GFP_BS,6.066,4,7.662
20210629_MKY4450_01_Cell11_GFP_BS,4.811,4,4.039
20210629_MKY4450_01_Cell12_GFP_BS,3.987,3,4.21
20210629_MKY4450_02_Cell01_GFP_BS,4.164,4,3.656
20210629_MKY4450_02_Cell02_GFP_BS,4.498,3,5.557
20210629_MKY4450_02_Cell03_GFP_BS,3.449,3,3.037
20210629_MKY4450_02_Cell04_GFP_BS,4.04,3,3.672
20210629_MKY4450_02_Cell05_GFP_BS,4.624,4,5.448
20210629_MKY4450_02_Cell06_GFP_BS,3.299,3,2.806
20210629_MKY4450_02_Cell07_GFP_BS,7.2,6,6.216
20210629_MKY4450_02_Cell08_GFP_BS,4.892,3,6.496
20210629_MKY4450_02_Cell09_GFP_BS,4.96,4,3.909
20210629_MKY4450_02_Cell10_GFP_BS,3.541,3,3.397
20210629_MKY4450_02_Cell11_GFP_BS,4.416,3,5.404
20210629_MKY4450_02_Cell12_GFP_BS,3.764,3,3.312
20210629_MKY4450_03_Cell01_GFP_BS,4.009,3,3.449
20210629_MKY4450_03_Cell02_GFP_BS,3.145,3,2.664
20210629_MKY4450_03_Cell03_GFP_BS,3.766,3,3.406
20210629_MKY4450_03_Cell04_GFP_BS,4.073,3,3.782
20210629_MKY4450_03_Cell05_GFP_BS,5.556,4,5.482
20210629_MKY4450_03_Cell06_GFP_BS,4.304,3,4.28
20210629_MKY4450_03_Cell07_GFP_BS,5.357,4,4.668
20210629_MKY4450_03_Cell08_GFP_BS,5.566,4,5.427
20210629_MKY4450_03_Cell09_GFP_BS,3.31,3,2.848
20210629_MKY4450_03_Cell10_GFP_BS,3.446,3,3.04
20210629_MKY4450_03_Cell11_GFP_BS,5.487,4,6.563
20210629_MKY4450_03_Cell12_GFP_BS,4.962,4,4.587
20210629_MKY4450_04_Cell01_GFP_BS,4.777,4,5.348
20210629_MKY4450_04_Cell02_GFP_BS,4.596,4,3.597
20210629_MKY4450_04_Cell03_GFP_BS,6.318,5,6.932
20210629_MKY4450_04_Cell04_GFP_BS,3.115,3,2.683
20210629_MKY4450_04_Cell05_GFP_BS,5.937,4,6.41
20210629_MKY4450_04_Cell06_GFP_BS,6.357,5,5.415
