cell,mean,median,sd
20210630_MKY3487_01_Cell01_GFP_BS,5.013,4,7.754
20210630_MKY3487_01_Cell02_GFP_BS,3.929,3,5.908
20210630_MKY3487_01_Cell03_GFP_BS,5.261,3,14.674
20210630_MKY3487_01_Cell04_GFP_BS,6.745,5,12.209
20210630_MKY3487_01_Cell05_GFP_BS,4.082,3,6.667
20210630_MKY3487_01_Cell06_GFP_BS,4.899,3,9.758
20210630_MKY3487_01_Cell07_GFP_BS,4.713,4,10.935
20210630_MKY3487_01_Cell08_GFP_BS,5.883,3,17.689
20210630_MKY3487_01_Cell09_GFP_BS,6.689,4,19.432
20210630_MKY3487_01_Cell10_GFP_BS,5.645,3,16.319
20210630_MKY3487_01_Cell11_GFP_BS,4.945,3,10.178
20210630_MKY3487_01_Cell12_GFP_BS,5.161,4,10.703
20210630_MKY3487_02_Cell01_GFP_BS,5.646,4,11.173
20210630_MKY3487_02_Cell02_GFP_BS,7.404,4,21.579
20210630_MKY3487_02_Cell03_GFP_BS,6.757,4,18.904
20210630_MKY3487_02_Cell04_GFP_BS,5.281,4,9.684
20210630_MKY3487_02_Cell05_GFP_BS,5.591,3,17.047
20210630_MKY3487_02_Cell06_GFP_BS,4.93,4,11.601
20210630_MKY3487_02_Cell07_GFP_BS,4.441,3,9.519
20210630_MKY3487_02_Cell08_GFP_BS,9.642,5,37.414
20210630_MKY3487_02_Cell09_GFP_BS,5.078,4,8.739
20210630_MKY3487_02_Cell10_GFP_BS,5.418,4,10.656
20210630_MKY3487_02_Cell11_GFP_BS,4.067,3,8.54
20210630_MKY3487_02_Cell12_GFP_BS,3.145,3,3.61
20210630_MKY3487_03_Cell01_GFP_BS,6.801,4,19.551
20210630_MKY3487_03_Cell02_GFP_BS,6.802,4,19.68
20210630_MKY3487_03_Cell03_GFP_BS,6.349,5,11.423
20210630_MKY3487_03_Cell04_GFP_BS,6.764,5,12.296
20210630_MKY3487_03_Cell05_GFP_BS,6.048,4,11.509
20210630_MKY3487_03_Cell06_GFP_BS,7.76,5,19.126
20210630_MKY3487_03_Cell07_GFP_BS,5.095,4,10.599
20210630_MKY3487_03_Cell08_GFP_BS,4.84,3,13.756
20210630_MKY3487_03_Cell09_GFP_BS,3.98,3,7.803
20210630_MKY3487_03_Cell10_GFP_BS,4.266,3,10.624
20210630_MKY3487_03_Cell11_GFP_BS,5.073,4,8.901
20210630_MKY3487_03_Cell12_GFP_BS,4.646,3,11.099
20210630_MKY3487_04_Cell01_GFP_BS,4.764,4,7.136
20210630_MKY3487_04_Cell02_GFP_BS,3.613,3,4.614
20210630_MKY3487_04_Cell03_GFP_BS,3.474,3,8.335
20210630_MKY3487_04_Cell04_GFP_BS,3.61,3,5.119
20210630_MKY3487_04_Cell05_GFP_BS,3.966,3,9.187
20210630_MKY3487_04_Cell06_GFP_BS,6.407,4,13.437
20210630_MKY3487_04_Cell07_GFP_BS,5.789,4,8.889
20210630_MKY3487_04_Cell08_GFP_BS,5.792,4,8.543
