cell,mean,median,sd
20210701_MKY3487_01_Cell01_GFP_BS,5.035,4,10.188
20210701_MKY3487_01_Cell02_GFP_BS,4.266,3,7.009
20210701_MKY3487_01_Cell03_GFP_BS,3.956,3,8.514
20210701_MKY3487_01_Cell04_GFP_BS,6.242,4,12.837
20210701_MKY3487_01_Cell05_GFP_BS,8.567,5,20.203
20210701_MKY3487_01_Cell06_GFP_BS,5.818,4,13.213
20210701_MKY3487_01_Cell07_GFP_BS,7.082,4,15.529
20210701_MKY3487_01_Cell08_GFP_BS,8.375,5,20.287
20210701_MKY3487_01_Cell09_GFP_BS,5.022,3,15.502
20210701_MKY3487_01_Cell10_GFP_BS,4.641,3,9.306
20210701_MKY3487_01_Cell11_GFP_BS,3.911,3,6.574
20210701_MKY3487_01_Cell12_GFP_BS,4.959,4,10.628
20210701_MKY3487_01_Cell13_GFP_BS,6.31,4,11.662
20210701_MKY3487_01_Cell14_GFP_BS,6.436,5,10.228
20210701_MKY3487_01_Cell15_GFP_BS,6.376,4,12.795
20210701_MKY3487_02_Cell01_GFP_BS,3.554,3,4.455
20210701_MKY3487_02_Cell02_GFP_BS,4.312,3,6.864
20210701_MKY3487_02_Cell03_GFP_BS,5.059,4,9.288
20210701_MKY3487_02_Cell04_GFP_BS,3.84,3,6.095
20210701_MKY3487_02_Cell05_GFP_BS,5.84,5,8.629
20210701_MKY3487_02_Cell06_GFP_BS,5.464,4,12.772
20210701_MKY3487_02_Cell07_GFP_BS,3.924,3,5.477
20210701_MKY3487_02_Cell08_GFP_BS,6.936,4,12.605
20210701_MKY3487_02_Cell09_GFP_BS,4.249,3,10.101
20210701_MKY3487_02_Cell10_GFP_BS,6.264,4,10.221
20210701_MKY3487_02_Cell11_GFP_BS,5.179,4,8.882
20210701_MKY3487_02_Cell12_GFP_BS,4.128,3,5.396
20210701_MKY3487_05_Cell01_GFP_BS,4.442,4,4.124
20210701_MKY3487_05_Cell02_GFP_BS,5.36,4,8.218
20210701_MKY3487_05_Cell03_GFP_BS,5.795,4,9.368
20210701_MKY3487_05_Cell04_GFP_BS,3.432,3,4.08
20210701_MKY3487_05_Cell05_GFP_BS,6.441,4,15.824
20210701_MKY3487_05_Cell06_GFP_BS,7.233,4,16.644
20210701_MKY3487_05_Cell07_GFP_BS,3.446,3,4.629
20210701_MKY3487_05_Cell08_GFP_BS,5.95,4,15.187
20210701_MKY3487_05_Cell09_GFP_BS,4.223,3,7.704
20210701_MKY3487_05_Cell10_GFP_BS,5.811,3,14.545
20210701_MKY3487_05_Cell11_GFP_BS,5.69,4,7.752
20210701_MKY3487_05_Cell12_GFP_BS,5.404,4,9.638
20210701_MKY3487_05_Cell13_GFP_BS,7.9,4,20.288
20210701_MKY3487_05_Cell14_GFP_BS,5.555,4,12.066
20210701_MKY3487_05_Cell15_GFP_BS,4.945,3,12.742
20210701_MKY3487_05_Cell16_GFP_BS,5.114,4,9.23
20210701_MKY3487_06_Cell01_GFP_BS,6.497,4,12.439
20210701_MKY3487_06_Cell02_GFP_BS,6.149,4,13.692
20210701_MKY3487_06_Cell03_GFP_BS,4.362,3,8.935
20210701_MKY3487_06_Cell04_GFP_BS,4.358,3,7.106
