ede1,mean,lower,upper,proc_wt,half_ci
wt,23.15721976,21.17096614,25.14347338,100,1.986253622
pq,19.3314442,18.00684336,20.65604503,83.47912399,1.324600836
cc,18.02309985,16.54337786,19.50282184,77.82929055,1.479721989
pqcc,16.71913751,14.8680052,18.57026981,72.19837994,1.851132308
delta,16.45358239,14.25502314,18.65214163,71.05163123,2.198559244
