Cell,Threshold,Patches,Cross_Area
20180321_MKY3770_14_Cell02_GFP,yen,23,3877
20180321_MKY3770_15_Cell01_GFP,yen,25,4324
20180321_MKY3770_15_Cell02_GFP,yen,42,5201
20180321_MKY3770_15_Cell03_GFP,yen,19,2938
20180321_MKY3770_16_Cell01_GFP,yen,29,4441
20180321_MKY3770_16_Cell02_GFP,yen,31,4956
20180321_MKY3770_17_Cell01_GFP,yen,31,4153
20180321_MKY3770_17_Cell02_GFP,yen,26,3810
20180321_MKY3770_17_Cell03_GFP,yen,22,3195
20180321_MKY3770_18_Cell01_GFP,yen,40,4778
20180321_MKY3770_18_Cell02_GFP,yen,34,3645
20180321_MKY3770_19_Cell01_GFP,yen,20,4196
20180321_MKY3770_19_Cell02_GFP,yen,29,4071
20180321_MKY3770_20_Cell01_GFP,yen,24,4453
20180321_MKY3770_20_Cell02_GFP,yen,38,4024
20180321_MKY3770_21_Cell01_GFP,yen,21,3058
20180321_MKY3770_21_Cell02_GFP,yen,32,4359
20180321_MKY3776_01_Cell01_GFP,yen,22,3410
20180321_MKY3776_02_Cell01_GFP,yen,23,3100
20180321_MKY3776_02_Cell02_GFP,yen,8,2926
20180321_MKY3776_02_Cell03_GFP,yen,26,3003
20180321_MKY3776_02_Cell04_GFP,yen,20,3187
20180321_MKY3776_02_Cell05_GFP,yen,30,5071
20180321_MKY3776_03_Cell01_GFP,yen,18,3409
20180321_MKY3776_04_Cell01_GFP,yen,42,5851
20180321_MKY3776_04_Cell02_GFP,yen,31,4468
20180321_MKY3776_05_Cell01_GFP,yen,22,3761
20180321_MKY3776_05_Cell02_GFP,yen,21,2707
20180321_MKY3776_05_Cell03_GFP,yen,20,3289
20180321_MKY3776_06_Cell01_GFP,yen,18,3829
20180321_MKY3776_06_Cell02_GFP,yen,26,3675
20180321_MKY3776_06_Cell03_GFP,yen,14,2915
20180321_MKY3776_07_Cell01_GFP,yen,20,2606
20180321_MKY3776_08_Cell01_GFP,yen,22,3720
20180321_MKY3776_09_Cell01_GFP,yen,21,4066
20180321_MKY3776_09_Cell02_GFP,yen,21,3027
20180321_MKY3776_09_Cell03_GFP,yen,27,3437
20180321_MKY3776_10_Cell01_GFP,yen,23,2812
20180321_MKY3776_10_Cell02_GFP,yen,27,2750
20180321_MKY3776_10_Cell03_GFP,yen,27,3399
20180321_MKY3776_11_Cell01_GFP,yen,22,3975
20180321_MKY3776_11_Cell02_GFP,yen,27,3678
20180321_MKY3776_11_Cell03_GFP,yen,22,3649
20180321_MKY3776_12_Cell01_GFP,yen,27,3080
20180321_MKY3776_13_Cell01_GFP,yen,25,3501
20180321_MKY3776_14_Cell01_GFP,yen,24,3736
20180321_MKY3776_14_Cell02_GFP,yen,13,3462
20180321_MKY3776_14_Cell03_GFP,yen,21,2956
20180321_MKY3776_14_Cell04_GFP,yen,25,3937
20180321_MKY3776_15_Cell01_GFP,yen,16,3240
20180321_MKY3776_15_Cell02_GFP,yen,16,4539
20180321_MKY3776_16_Cell01_GFP,yen,20,3580
20180321_MKY3776_16_Cell02_GFP,yen,25,3586
20180321_MKY3776_17_Cell01_GFP,yen,24,3408
20180321_MKY3776_17_Cell02_GFP,yen,17,2602
20180321_MKY3776_18_Cell01_GFP,yen,28,3011
20180321_MKY3776_18_Cell02_GFP,yen,25,3746
20180321_MKY3776_19_Cell01_GFP,yen,28,4015
20180321_MKY3776_19_Cell02_GFP,yen,22,3284
20180321_MKY3776_20_Cell01_GFP,yen,22,3818
20180321_MKY3776_20_Cell02_GFP,yen,24,4441
20180321_MKY3776_21_Cell01_GFP,yen,22,3136
20180321_MKY3776_21_Cell02_GFP,yen,25,3586
20180321_MKY3776_21_Cell03_GFP,yen,28,3552
20180321_MKY3782_01_Cell01_GFP,yen,17,2518
20180321_MKY3782_01_Cell02_GFP,yen,7,3413
20180321_MKY3782_01_Cell03_GFP,yen,11,2968
20180321_MKY3782_01_Cell04_GFP,yen,15,2811
20180321_MKY3782_02_Cell01_GFP,yen,12,2593
20180321_MKY3782_02_Cell02_GFP,yen,4,3909
20180321_MKY3782_02_Cell03_GFP,yen,13,3361
20180321_MKY3782_03_Cell01_GFP,yen,13,4154
20180321_MKY3782_03_Cell02_GFP,yen,15,3789
20180321_MKY3782_04_Cell01_GFP,yen,16,4598
20180321_MKY3782_04_Cell02_GFP,yen,15,3926
20180321_MKY3782_04_Cell03_GFP,yen,12,3687
20180321_MKY3782_05_Cell01_GFP,yen,15,2921
20180321_MKY3782_05_Cell02_GFP,yen,24,3745
20180321_MKY3782_06_Cell01_GFP,yen,14,3088
20180321_MKY3782_06_Cell02_GFP,yen,14,2930
20180321_MKY3782_07_Cell01_GFP,yen,19,3225
20180321_MKY3782_07_Cell02_GFP,yen,11,2879
20180321_MKY3782_08_Cell01_GFP,yen,18,3429
20180321_MKY3782_08_Cell02_GFP,yen,25,3486
20180321_MKY3782_09_Cell01_GFP,yen,12,3208
20180321_MKY3782_09_Cell02_GFP,yen,26,4286
20180321_MKY3782_10_Cell01_GFP,yen,10,3311
20180321_MKY3782_10_Cell02_GFP,yen,28,4103
20180321_MKY3782_11_Cell01_GFP,yen,20,3613
20180321_MKY3782_11_Cell02_GFP,yen,16,3150
20180321_MKY3782_11_Cell03_GFP,yen,22,3484
20180321_MKY3782_12_Cell012_GFP,yen,8,3348
20180321_MKY3782_12_Cell01_GFP,yen,8,3348
20180321_MKY3782_12_Cell02_GFP,yen,19,3405
20180321_MKY3782_12_Cell03_GFP,yen,26,3250
20180321_MKY3782_12_Cell04_GFP,yen,10,3096
20180321_MKY3782_13_Cell01_GFP,yen,14,3074
20180321_MKY3782_13_Cell02_GFP,yen,5,3099
20180321_MKY3782_14_Cell01_GFP,yen,19,3253
20180321_MKY3782_14_Cell02_GFP,yen,22,3040
20180321_MKY3782_15_Cell01_GFP,yen,9,3227
20180321_MKY3782_15_Cell02_GFP,yen,19,3385
20180321_MKY3782_15_Cell03_GFP,yen,30,3921
20180321_MKY3782_16_Cell01_GFP,yen,10,4245
20180321_MKY3782_16_Cell02_GFP,yen,17,3803
20180321_MKY3782_16_Cell03_GFP,yen,19,3593
20180321_MKY3782_17_Cell01_GFP,yen,12,3315
20180321_MKY3782_17_Cell02_GFP,yen,15,3131
20180321_MKY3782_18_Cell01_GFP,yen,19,3647
20180321_MKY3782_18_Cell02_GFP,yen,17,3322
20180321_MKY3782_19_Cell01_GFP,yen,18,3946
20180321_MKY3782_19_Cell02_GFP,yen,16,3236
20180321_MKY3782_19_Cell03_GFP,yen,19,3473
20180321_MKY3782_19_Cell04_GFP,yen,8,3612
20180321_MKY3782_20_Cell01_GFP,yen,28,4482
20180321_MKY3782_20_Cell02_GFP,yen,9,2435
20180321_MKY3782_20_Cell03_GFP,yen,27,4197
20180321_MKY3782_21_Cell01_GFP,yen,12,3359
20180321_MKY3782_21_Cell02_GFP,yen,18,3246
20180321_MKY3782_21_Cell03_GFP,yen,24,4274
