Cell,Threshold,Patches,Cross_Area
20191028_MKY0140_01_Cell01_GFP,yen,23,2673
20191028_MKY0140_01_Cell02_GFP,yen,19,1878
20191028_MKY0140_01_Cell03_GFP,yen,19,2020
20191028_MKY0140_02_Cell01_GFP,yen,25,2883
20191028_MKY0140_02_Cell02_GFP,yen,34,3747
20191028_MKY0140_02_Cell03_GFP,yen,28,3278
20191028_MKY0140_02_Cell04_GFP,yen,23,4118
20191028_MKY0140_03_Cell01_GFP,yen,33,2997
20191028_MKY0140_03_Cell02_GFP,yen,34,4076
20191028_MKY0140_04_Cell01_GFP,yen,21,3466
20191028_MKY0140_04_Cell02_GFP,yen,25,2522
20191028_MKY0140_04_Cell03_GFP,yen,25,2694
20191028_MKY0140_04_Cell04_GFP,yen,27,2322
20191028_MKY0140_04_Cell05_GFP,yen,38,3557
20191028_MKY0140_05_Cell01_GFP,yen,21,6811
20191028_MKY0140_05_Cell02_GFP,yen,27,3071
20191028_MKY0140_05_Cell03_GFP,yen,15,2532
20191028_MKY0140_05_Cell04_GFP,yen,26,2942
20191028_MKY0140_06_Cell01_GFP,yen,29,2511
20191028_MKY0140_07_Cell01_GFP,yen,23,2815
20191028_MKY0140_07_Cell02_GFP,yen,25,2858
20191028_MKY0140_08_Cell01_GFP,yen,25,3141
20191028_MKY0140_09_Cell01_GFP,yen,24,3413
20191028_MKY0140_09_Cell02_GFP,yen,25,3359
20191028_MKY0140_10_Cell01_GFP,yen,19,2746
20191028_MKY0140_10_Cell02_GFP,yen,30,3073
20191028_MKY0140_11_Cell01_GFP,yen,28,3140
20191028_MKY0140_11_Cell02_GFP,yen,23,3293
20191028_MKY0140_11_Cell03_GFP,yen,20,2426
20191028_MKY0140_11_Cell04_GFP,yen,29,3812
20191028_MKY0140_11_Cell05_GFP,yen,28,3955
20191028_MKY0140_11_Cell06_GFP,yen,28,4566
20191028_MKY0140_12_Cell01_GFP,yen,25,3827
20191028_MKY0140_12_Cell02_GFP,yen,32,3484
20191028_MKY0140_13_Cell01_GFP,yen,25,3009
20191028_MKY0140_13_Cell02_GFP,yen,18,2178
20191028_MKY0140_13_Cell03_GFP,yen,37,2776
20191028_MKY0140_13_Cell04_GFP,yen,20,2618
20191028_MKY0140_14_Cell01_GFP,yen,21,2867
20191028_MKY0140_14_Cell02_GFP,yen,34,3487
20191028_MKY0140_15_Cell01_GFP,yen,23,2861
20191028_MKY0140_15_Cell02_GFP,yen,21,5188
20191028_MKY0140_16_Cell01_GFP,yen,34,3520
20191028_MKY0140_16_Cell02_GFP,yen,20,3298
20191028_MKY0140_16_Cell03_GFP,yen,28,3698
20191028_MKY0140_16_Cell04_GFP,yen,22,3855
20191028_MKY0140_17_Cell01_GFP,yen,24,3552
20191028_MKY0140_17_Cell02_GFP,yen,15,3099
20191028_MKY0140_17_Cell03_GFP,yen,27,3192
20191028_MKY0140_18_Cell01_GFP,yen,33,3659
20191028_MKY0140_18_Cell02_GFP,yen,20,2423
20191028_MKY0140_18_Cell03_GFP,yen,17,3328
20191028_MKY0654_01_Cell01_GFP,yen,7,3483
20191028_MKY0654_01_Cell02_GFP,yen,11,4230
20191028_MKY0654_01_Cell03_GFP,yen,23,3557
20191028_MKY0654_02_Cell01_GFP,yen,11,3032
20191028_MKY0654_02_Cell02_GFP,yen,5,2742
20191028_MKY0654_02_Cell03_GFP,yen,7,3779
20191028_MKY0654_02_Cell04_GFP,yen,13,3427
20191028_MKY0654_03_Cell01_GFP,yen,19,2954
20191028_MKY0654_03_Cell02_GFP,yen,10,3710
20191028_MKY0654_04_Cell01_GFP,yen,22,3043
20191028_MKY0654_04_Cell02_GFP,yen,13,3317
20191028_MKY0654_04_Cell03_GFP,yen,13,3061
20191028_MKY0654_05_Cell01_GFP,yen,17,3018
20191028_MKY0654_05_Cell02_GFP,yen,25,3807
20191028_MKY0654_06_Cell01_GFP,yen,9,2303
20191028_MKY0654_06_Cell02_GFP,yen,15,3322
20191028_MKY0654_06_Cell03_GFP,yen,13,2609
20191028_MKY0654_07_Cell01_GFP,yen,21,3740
20191028_MKY0654_07_Cell02_GFP,yen,15,3476
20191028_MKY0654_07_Cell03_GFP,yen,21,3083
20191028_MKY0654_08_Cell01_GFP,yen,14,2522
20191028_MKY0654_08_Cell02_GFP,yen,7,2249
20191028_MKY0654_09_Cell01_GFP,yen,18,2758
20191028_MKY0654_09_Cell03_GFP,yen,28,6127
20191028_MKY0654_10_Cell01_GFP,yen,10,3078
20191028_MKY0654_10_Cell02_GFP,yen,15,3134
20191028_MKY0654_10_Cell03_GFP,yen,18,2772
20191028_MKY0654_11_Cell01_GFP,yen,23,2535
20191028_MKY0654_11_Cell02_GFP,yen,22,3311
20191028_MKY0654_12_Cell01_GFP,yen,12,2957
20191028_MKY0654_12_Cell02_GFP,yen,14,3052
20191028_MKY0654_12_Cell03_GFP,yen,19,4104
20191028_MKY0654_13_Cell01_GFP,yen,18,3371
20191028_MKY0654_13_Cell02_GFP,yen,14,3710
20191028_MKY0654_14_Cell01_GFP,yen,20,3679
20191028_MKY0654_14_Cell02_GFP,yen,18,3624
20191028_MKY0654_16_Cell01_GFP,yen,8,3342
20191028_MKY0654_16_Cell02_GFP,yen,9,5570
20191028_MKY0654_17_Cell01_GFP,yen,18,4122
20191028_MKY0654_17_Cell02_GFP,yen,13,2712
20191028_MKY0654_17_Cell03_GFP,yen,21,3753
20191028_MKY0654_18_Cell01_GFP,yen,20,3312
20191028_MKY0654_18_Cell02_GFP,yen,13,4197
20191028_MKY0654_19_Cell01_GFP,yen,10,3536
20191028_MKY0654_19_Cell02_GFP,yen,24,3803
20191029_MKY3770_01_Cell01_GFP,yen,20,3739
20191029_MKY3770_01_Cell02_GFP,yen,29,4138
20191029_MKY3770_01_Cell03_GFP,yen,31,4075
20191029_MKY3770_02_Cell01_GFP,yen,19,2575
20191029_MKY3770_02_Cell02_GFP,yen,26,3288
20191029_MKY3770_02_Cell03_GFP,yen,19,3700
20191029_MKY3770_02_Cell04_GFP,yen,25,3918
20191029_MKY3770_02_Cell05_GFP,yen,22,3234
20191029_MKY3770_03_Cell01_GFP,yen,20,3823
20191029_MKY3770_03_Cell02_GFP,yen,21,3726
20191029_MKY3770_03_Cell03_GFP,yen,17,2376
20191029_MKY3770_03_Cell04_GFP,yen,36,4168
20191029_MKY3770_04_Cell01_GFP,yen,18,4118
20191029_MKY3770_04_Cell02_GFP,yen,24,3255
20191029_MKY3770_04_Cell03_GFP,yen,30,4059
20191029_MKY3770_04_Cell04_GFP,yen,26,6507
20191029_MKY3770_05_Cell01_GFP,yen,32,3309
20191029_MKY3770_05_Cell02_GFP,yen,30,3896
20191029_MKY3770_05_Cell03_GFP,yen,25,3560
20191029_MKY3770_06_Cell01_GFP,yen,29,3366
20191029_MKY3770_06_Cell02_GFP,yen,15,3171
20191029_MKY3770_06_Cell03_GFP,yen,23,3929
20191029_MKY3770_07_Cell01_GFP,yen,33,4548
20191029_MKY3770_07_Cell02_GFP,yen,31,4702
20191029_MKY3770_08_Cell01_GFP,yen,17,3964
20191029_MKY3770_08_Cell02_GFP,yen,7,4883
20191029_MKY3770_08_Cell03_GFP,yen,27,3740
20191029_MKY3770_09_Cell01_GFP,yen,27,3843
20191029_MKY3770_09_Cell02_GFP,yen,14,2392
20191029_MKY3770_09_Cell03_GFP,yen,27,3805
20191029_MKY3770_09_Cell04_GFP,yen,32,4133
20191029_MKY3770_10_Cell01_GFP,yen,25,3699
20191029_MKY3770_10_Cell02_GFP,yen,28,3570
20191029_MKY3770_10_Cell03_GFP,yen,30,3824
20191029_MKY3770_10_Cell04_GFP,yen,24,3532
20191029_MKY3770_11_Cell01_GFP,yen,21,4159
20191029_MKY3770_11_Cell02_GFP,yen,25,3972
